Area,Ages_18-24,Ages_25-34,Ages_35-44,Ages_45-54,Ages_55-64,Ages_65_&_Older,Under_Age_18
101110,11.484245,12.52073,13.723051,17.288557,11.463515,13.432836,20.087065
101122,6.1075659,14.068672,9.0853844,20.723185,18.839258,15.466424,15.709511
101210,11.356682,20.84325,12.597755,12.427746,14.025842,8.7555256,19.9932
101220,3.8594072,15.230875,17.229496,13.025499,19.917299,11.819435,18.917988
101300,5.4421768,15.034014,10.839003,13.129251,21.156462,20.15873,14.240363
101400,9.710392,12.119738,10.927233,18.715015,14.748114,14.967145,18.812363
102103,5.2972975,18.216217,11.135135,15.513514,18.864864,16.594595,14.378378
102104,14.220052,15.024418,9.8822174,8.848032,20.856075,18.184429,12.984775
102105,13.800206,21.730175,13.439753,13.954686,9.3202887,8.4449024,19.30999
102107,7.3753815,13.784333,7.7568669,16.098677,15.284842,22.533062,17.166836
103101,8.1486778,14.796283,11.901358,17.119371,17.190851,13.116511,17.726948
103102,9.6197329,17.965057,13.44296,15.683454,11.757451,12.846866,18.684481
103200,5.6675663,9.4618196,13.684711,14.907128,20.050802,18.764883,17.463089
103300,6.1038566,10.598239,12.541756,20.012148,18.159733,18.038263,14.546007
103400,9.1018324,13.772904,11.655151,19.510363,15.109643,13.532593,17.317513
104103,14.232396,13.038069,13.062951,11.072406,12.590197,11.520279,24.483702
104105,11.765714,14.848433,13.546841,12.245248,9.0768967,8.939887,29.576982
104108,13.280456,15.802319,15.497254,11.856823,8.074029,9.6603622,25.828758
104124,12.05855,13.266728,12.290893,18.889404,10.153346,14.38197,18.959108
104201,13.404387,18.589874,12.728018,11.149826,9.6126251,5.841361,28.673908
104203,11.723281,17.854183,10.749793,12.862469,8.1607294,6.4830155,32.166527
104204,9.8161325,16.281139,13.671412,15.510083,13.048635,8.956109,22.716488
104310,10.178364,17.448624,14.09461,12.427298,8.8794107,10.566111,26.405584
104320,11.821086,24.581846,9.6222515,10.543131,12.140575,10.280023,21.011087
104401,11.839267,17.853291,15.183387,10.598705,7.6591153,6.0679612,30.798273
104403,10.791367,18.533745,14.114423,11.647824,9.0441933,11.921891,23.946556
104404,10.364753,17.984833,13.037197,12.676056,7.9812207,8.5951605,29.360781
104500,16.245487,16.343945,13.849689,12.077454,7.9094191,8.2376108,25.336397
104610,11.137371,17.784342,14.948301,10.546529,9.0103397,9.0398817,27.533236
104620,13.267096,10.929281,15.429573,11.718293,10.607832,8.7083578,29.339567
104701,14.099617,13.742018,11.519795,9.4252872,7.8671775,5.466156,37.879948
104703,11.458793,16.130453,17.672983,7.4922872,3.8783605,5.6412516,37.725872
104704,10.587971,16.197342,16.985807,12.119846,7.5016894,4.8659606,31.741383
104810,8.9341154,19.006554,14.091066,11.210762,10.469128,10.244912,26.043463
104821,14.102955,16.874809,13.859275,14.346634,5.2086506,10.051782,25.555895
104822,13.335925,11.197512,16.290825,17.729393,4.0435457,8.0482111,29.354588
106010,10.999665,9.6288862,16.048145,15.91441,12.036108,11.668339,23.704447
106020,10.479376,12.661252,13.760153,12.231247,12.406434,11.928651,26.532887
106111,10.02907,9.0323925,14.908638,15.635382,13.517442,12.645349,24.231728
106112,10.251289,12.79747,16.59178,12.364786,9.9517393,9.3692799,28.673656
106113,11.519537,12.532561,14.703328,13.806078,8.5962372,14.674385,24.167873
106114,12.132974,16.267296,14.697941,11.272359,8.0998983,6.8511643,30.678366
106403,12.834225,14.945117,14.185196,14.185196,10.835914,8.4154234,24.59893
106405,9.5686274,15.947712,10.745098,16.888889,8.7320261,6.5882354,31.529411
106406,9.4631481,10.500455,16.214741,13.303002,12.811647,11.974523,25.732485
106407,9.6852303,12.590799,13.248011,10.169492,9.028018,15.358007,29.920443
106408,17.937565,15.020471,14.969294,9.6468782,4.8362331,2.917093,34.672466
106510,9.5127163,13.997282,11.958843,13.220734,12.424772,10.075713,28.80994
106520,10.392688,16.232227,16.452269,7.5321598,11.391334,11.492891,26.506432
106603,8.4766588,6.9717445,11.916462,16.523342,15.325553,15.816954,24.969288
106604,9.9827509,15.351444,19.167746,8.9262609,9.5730915,6.9210868,30.07762
106641,8.9510489,8.6247082,12.634032,15.571095,17.202797,19.487179,17.529137
106642,7.5102282,10.052601,14.494448,14.991233,14.699006,18.381063,19.87142
106643,10.624868,13.633494,9.1731539,19.650747,13.507258,15.043131,18.367348
106645,4.9730377,7.159976,14.97903,13.840623,11.713601,22.139006,25.194727
106646,8.1593924,13.120087,10.92437,17.701275,14.44836,16.427216,19.219301
106648,11.767652,15.147721,14.396595,12.844266,8.2373562,6.6850276,30.921383
106649,7.2261949,12.721114,19.156944,9.936018,10.312383,13.963117,26.684231
107010,13.703466,11.424904,15.500642,14.602054,11.007702,9.0821562,24.679075
107020,10.68661,17.264372,17.80501,13.515949,8.181654,8.6682281,23.878176
108101,6.1847053,14.166319,8.1905556,13.790221,17.00794,21.01964,19.640619
108102,10.766325,10.793308,13.302752,14.651916,14.651916,16.891527,18.942255
108103,8.9507103,6.5618386,10.250983,14.968249,18.052616,23.737526,17.478077
108104,7.2441745,9.5744677,11.854103,18.085106,12.816616,15.450861,24.97467
108201,4.4988027,6.1409512,15.651728,17.15703,15.155662,13.821416,27.574409
108202,4.7227302,12.233395,14.76234,15.859232,12.340036,16.072517,24.00975
