Area,Young_Adults_Enrolled_in_School
101110,47.111912
101122,44.776119
101210,41.467068
101220,65.178574
101300,60.416668
101400,52.63158
102103,60.204082
102104,65.858589
102105,51.119404
102107,67.931038
103101,50.438595
103102,42.094017
103200,36.974789
103300,41.293533
103400,36.303631
104103,50.349651
104105,67.248909
104108,34.303215
104124,65.125244
104201,49.082569
104203,13.780919
104204,44.108761
104310,30.095238
104320,25.755167
104401,35.079727
104403,18.412699
104404,33.101044
104500,29.292929
104610,33.687004
104620,31.277533
104701,32.971016
104703,34.23077
104704,23.19149
104810,48.648647
104821,22.678186
104822,26.239067
106010,53.799393
106020,62.917934
106111,54.658386
106112,54.870129
106113,49.246231
106114,39.638386
106403,32.456139
106405,37.978142
106406,58.846153
106407,33.214287
106408,29.101284
106510,49.387756
106520,33.224754
106603,49.63768
106604,45.788338
106641,60.9375
106642,35.797665
106643,89.10891
106645,35.542168
106646,48.504982
106648,37.021278
106649,41.666668
107010,20.374708
107020,48.060707
108101,65.540543
108102,73.433586
108103,51.68919
108104,30.069929
108201,73.384033
108202,46.451614
109100,30.344828
109200,48.235294
109300,56.106869
109400,56.490383
109500,31.968504
109601,39.776951
109603,41.176472
109604,54.587154
109700,59.10931
109800,41.367523
111100,46.632126
111201,52.610443
111202,56.292519
111204,86.751358
111205,61.172161
111206,53.310104
111301,43.162392
111302,71.826622
111400,79.916901
113101,75.052856
113102,49.310345
113211,40
113212,63.75
113213,79.178085
113231,35.403728
113232,71.21212
113233,42.994507
113234,44.067795
113235,42.657341
113237,31.65266
113301,44.186047
113303,39.889198
113321,55.263157
113322,62.413792
113401,50.607288
113421,45.558376
113422,27.419355
115101,68.774704
115103,100
115104,81.229347
115201,81.799591
115202,66.391182
115301,67.92453
115302,42.434212
115401,57.540604
115403,36.52174
115404,43.506493
117101,35.920578
117102,52.364864
117201,38.775509
117202,65
117301,69.64286
117302,58.793968
117303,29.024391
117404,45.277779
117405,31.119545
117407,24.744377
117408,31.215469
117510,40.308746
117520,40.956341
117530,37.226971
119001,58.104736
119002,42.745708
119201,42.971886
119202,46.391754
119310,39.380531
119320,25.274725
119340,25.284739
119341,40.69149
119342,37.931034
119400,50.406506
119700,61.513157
119800,39.034626
119900,63.990826
120010,36.363636
120020,41.800644
120030,28.136883
120103,17.553192
120104,35.537189
120105,38.416424
120106,41.135971
120107,7.4013157
120108,40.501045
120300,45.081966
120400,42.948719
121010,63.020832
121020,52.419353
121101,29.523809
121102,46.632126
121210,38.764046
121221,55.823292
121222,34.857143
121600,45.147678
121801,38.632164
121802,45.68528
121900,56.64122
122000,46.373058
122120,45.833332
122121,51.162792
122122,49.844238
122200,39.240505
122410,22.053232
122420,28.606358
123010,45.519714
123020,45.691383
123103,32.29665
123104,35.412025
123203,27.745665
123204,41.369862
123205,34.671532
123206,45.454544
123301,41.13475
123303,30.845772
123304,54.775829
123410,25.790754
123420,46.19883
123510,41.522491
123520,50.53476
123601,49.015316
123602,34.03756
123700,63.779526
123800,64.259262
123901,31.276596
123902,42.473118
124000,71.374763
124102,12.92517
124103,39.545456
124104,29.863014
124105,19.471947
124201,50.357143
124203,40.056023
124204,45.454544
124300,23.47826
124400,48.955917
124500,52.132702
124600,45.454544
124700,27.970297
124902,50.877193
124903,42.471043
125100,22.463768
125200,38.839287
125310,56.466515
125320,49.866901
125401,8.695652
125402,20.046619
125501,22.713863
125502,9.9415207
125600,58.333332
127102,31.41123
127103,40
127104,30.973452
127210,18.096516
127220,43.402779
127300,36.486488
127400,39.290989
127520,26.666666
127603,50.757576
127604,41.304348
127605,47.570332
127606,50.11338
127711,38.211384
127712,38.934425
127803,56.949154
127804,43.382355
127805,27.320955
127806,39.565216
127910,37.968441
127920,51.263538
128101,46.796658
128102,59.743042
128210,29.951691
128220,52.261307
128302,36.982643
128303,19.565218
128400,48.854961
128500,37.939697
128601,51.436031
128602,30
