Area,Neighborhood,LA_Crimes,Total_Population,Under_Age_18,Ages_18-24,Ages_25-34,Ages_35-44,Ages_45-54,Ages_55-64,Ages_65_&_Older,Young_Adults_Enrolled_in_School,College_Graduation_Rate,Less_Than_High_School,Labor_Force_Participation_Rate,Unemployment_Rate,Homeownership_Rate,Renter_Rate,Immigrant_Citizen,Immigrant_Non-Citizen,Immigrant,Divorced_Separated,Married,Never_Married,Median_Household_Income,Opportunity_Youth,Homeless_count,Below_100_Poverty_Threshold,Below_200_Poverty_Threshold,White,American_Indian_Or_Native,Asian,Black,Hispanic,Other_Race,Two_or_More_Races,Median_Rent_Price,No_Vehicle_Households,Youth_in_Non-Family_Households,Youth_in_Single_Parent_Households
101110,Tujunga,11.401327,4824,20.087065,11.484245,12.52073,13.723051,17.288557,11.463515,13.432836,47.111912,19.357771,19.691002,62.563709,8.7983704,46.44,53.56,62.545235,37.454765,34.369816,11,51,32,6,11.87801,0,14.461408,41.603054,55.679935,0,7.5663352,1.2852404,33.706467,0,1.7620232,1336,4.8024316,2.8895769,34.055729
101122,Tujunga,13.673656,3291,15.709511,6.1075659,14.068672,9.0853844,20.723185,18.839258,15.466424,44.776119,27.166731,4.6249514,80.622093,8.2483368,84.15,15.85,90.951065,9.0489378,32.907932,13,62,23,3,12.38938,NULL,2.6796589,7.4908648,75.235489,0.303859,9.480401,0.45578852,12.397448,0.42540261,1.7016104,2130,0,0,22.437138
101210,Tujunga,15.980959,5882,19.9932,11.356682,20.84325,12.597755,12.427746,14.025842,8.7555256,41.467068,16.592373,22.783556,70.290001,9.4922104,15.01,84.99,46.94323,53.05677,46.718803,14,37,42,7,13.333333,18,24.022442,55.593334,41.703503,0,1.4790888,3.349201,48.775925,0,4.6922817,1120,9.090909,0,46.513607
101220,Tujunga,18.263268,2902,18.917988,3.8594072,15.230875,17.229496,13.025499,19.917299,11.819435,65.178574,19.812584,17.849174,64.473686,8.0316,36.68,63.32,60.846561,39.153439,45.589249,13,56,26,5,15.652174,33,14.231565,37.629223,53.893867,0,14.024811,2.0675397,25.913164,0.51688492,3.5837355,1087,13.230241,0,24.043716
101300,Tujunga,10.204082,4410,14.240363,5.4421768,15.034014,10.839003,13.129251,21.156462,20.15873,60.416668,31.027668,10.135517,59.310165,8.788806,85.86,14.14,83.661789,16.338207,35.668934,9,54,31,6,7.9617834,39,7.314836,19.376289,78.866211,0,8.9342403,0.88435376,10.385488,0,0.9297052,1936,4.1042347,0,9.5541401
101400,Tujunga,11.438306,4109,18.812363,9.710392,12.119738,10.927233,18.715015,14.748114,14.967145,52.63158,27.681307,10.554988,59.821686,11.730769,64.89,35.11,73.990074,26.009922,34.339256,17,44,36,4,8.5299454,4,11.633,35.75079,62.034557,0.41372597,5.9625211,0.85178876,24.312485,1.7279143,4.6970067,1117,6.3417892,0.90556276,28.201811
102103,Shadow Hills,18.378378,1850,14.378378,5.2972975,18.216217,11.135135,15.513514,18.864864,16.594595,60.204082,38.088829,9.1520863,66.996292,11.07011,68.82,31.18,83.07373,16.926271,52.054054,12,50,32,6,18.181818,NULL,6.5405407,8.9729729,74.864868,0,3.4594595,0,21.081081,0,0.5945946,2217,2.2058823,0,5.3435116
102104,Shadow Hills,10.916404,3481,12.984775,14.220052,15.024418,9.8822174,8.848032,20.856075,18.184429,65.858589,43.88319,9.2738752,60.5905,11.387712,78.67,21.33,72.439949,27.560051,45.446712,9,53,33,5,5.5555553,NULL,6.7958179,17.066422,69.290436,0,14.306233,1.6949153,13.932778,0.14363688,0.63200229,2240,4.0958271,2.7397261,26.027397
102105,Sun Valley,8.2389288,1942,19.30999,13.800206,21.730175,13.439753,13.954686,9.3202887,8.4449024,51.119404,16.0893,25.866051,69.380089,11.371841,46.45,53.55,49.933067,50.066933,38.4655,17,41,40,3,13.851352,NULL,17.662205,40.06179,22.451082,0.25746652,5.3038106,2.7291453,66.83831,0.61791968,1.8022658,1339,1.0398613,0,33.866665
102107,Shadow Hills,15.005087,3932,17.166836,7.3753815,13.784333,7.7568669,16.098677,15.284842,22.533062,67.931038,28.682171,11.931244,59.594757,7.3000002,71.94,28.06,68.31913,31.680868,32.833164,12,44,36,8,4.5340052,NULL,14.111729,35.398464,55.035606,0.6103764,16.505594,1.3987793,25.686674,0,0.76297051,1125,7.2337041,0,63.772453
103101,Sunland,8.2201576,2798,17.726948,8.1486778,14.796283,11.901358,17.119371,17.190851,13.116511,50.438595,25.216972,10.414658,66.336205,9.6816111,79.19,20.81,67.011833,32.988167,24.160114,12,52,28,7,16.872429,15,9.57827,25.911366,62.973553,0.50035739,8.7205143,0.32165831,26.983561,0,0.50035739,1303,2.5054467,0,21.57258
103102,Sunland,16.855087,4865,18.684481,9.6197329,17.965057,13.44296,15.683454,11.757451,12.846866,42.094017,23.308487,12.5,64.530838,11.491261,74.26,25.74,80.422462,19.577538,39.897224,10,46,38,6,15.102639,6,9.8144331,19.175259,56.402878,0.18499486,15.292909,0.69886947,25.056526,0.4110997,1.9527235,1529,4.6913581,1.650165,39.823982
103200,Lake View Terrace,19.050642,6299,17.463089,5.6675663,9.4618196,13.684711,14.907128,20.050802,18.764883,36.974789,24.080957,17.740602,53.747009,6.6461115,64.34,35.66,74.526855,25.473146,31.036673,15,42,33,10,14.067797,82,16.445753,42.906235,46.070805,0,8.8426733,4.064137,39.879345,0.46039054,0.68264806,941,4.6939716,0,28.010948
103300,Shadow Hills,15.487397,3293,14.546007,6.1038566,10.598239,12.541756,20.012148,18.159733,18.038263,41.293533,41.791046,6.08496,64.400841,5.9303589,84.8,15.2,69.795425,30.204573,25.235348,11,55,28,5,11.934156,15,18.615244,24.992409,76.00972,0,3.9781353,0.27330703,15.153356,1.153963,3.4315214,2106,0,0,48.434238
103400,Sunland,11.565035,6658,17.317513,9.1018324,13.772904,11.655151,19.510363,15.109643,13.532593,36.303631,26.454378,9.2671976,69.775658,9.2658224,57.98,42.02,69.402626,30.597378,30.925203,15,50,32,4,16.959799,39,12.725345,26.950462,59.687595,3.40943218,7.7801142,4.3406429,21.778313,0,3.0039051,1378,4.8770323,0,29.579983
104103,Lake View Terrace,12.440906,4019,24.483702,14.232396,13.038069,13.062951,11.072406,12.590197,11.520279,50.349651,12.74868,33.901745,61.467598,13.850129,80.63,19.37,49.696602,50.303398,41.005226,9,47,40,5,15.497076,2,6.6208301,40.463459,5.3744712,0.39810898,8.8579245,12.515552,71.933319,0.14929087,0.77133614,1644,0.37974682,0,23.116089
104105,Pacoima,6.8504882,5839,29.576982,11.765714,14.848433,13.546841,12.245248,9.0768967,8.939887,67.248909,16.437956,43.328468,61.938919,14.717968,49.77,50.23,38.546711,61.453289,49.494778,8,43,44,4,9.2530661,13,26.655231,58.610634,7.484158,0,6.7306046,5.4975166,80.133583,0,0.15413599,672,6.6797643,0.52113491,47.423279
