Area,College_Graduation_Rate,Less_Than_High_School
101110,19.357771,19.691002
101122,27.166731,4.6249514
101210,16.592373,22.783556
101220,19.812584,17.849174
101300,31.027668,10.135517
101400,27.681307,10.554988
102103,38.088829,9.1520863
102104,43.88319,9.2738752
102105,16.0893,25.866051
102107,28.682171,11.931244
103101,25.216972,10.414658
103102,23.308487,12.5
103200,24.080957,17.740602
103300,41.791046,6.08496
103400,26.454378,9.2671976
104103,12.74868,33.901745
104105,16.437956,43.328468
104108,13.527054,41.683365
104124,30.313236,18.187943
104201,3.7154989,45.753716
104203,5.0203028,50.31377
104204,10.549451,44
104310,4.4940386,52.491592
104320,7.0229435,48.181309
104401,5.9238362,58.298073
104403,11.023623,50.97113
104404,3.5350509,55.182743
104500,3.483146,51.741573
104610,3.5645473,50.626205
104620,3.5132382,59.012218
104701,6.8085108,59.255318
104703,11.968777,53.772766
104704,14.414063,37.421875
104810,5.7824936,41.803715
104821,10.449268,44.977283
104822,8.2089548,55.902306
106010,22.171019,22.734255
106020,16.460176,35.271809
106111,24.289324,22.488945
106112,23.242506,27.629427
106113,22.142214,28.39784
106114,15.284745,38.093834
106403,5.6230321,41.52047
106405,10.430537,37.017311
106406,23.195732,18.786858
106407,11.741122,35.395187
106408,9.5032396,41.144707
106510,28.454517,19.13755
106520,8.3422747,36.883049
106603,53.991695,6.9220119
106604,12.158274,31.474821
106641,58.592262,4.311985
106642,35.331993,5.0704226
106643,54.844444,8.2666664
106645,58.429859,3.045903
106646,30.645763,15.938783
106648,7.6452599,43.556137
106649,30.865604,21.753986
107010,8.90625,44.583332
107020,16.79978,35.36216
108101,53.014084,5.8591547
108102,58.771591,3.7619963
108103,67.118782,4.1101522
108104,62.705532,2.6158445
108201,61.118107,5.4646187
108202,52.458317,4.8311243
109100,19.120762,25.211864
109200,36.636795,8.5397997
109300,26.666666,18.791666
109400,17.14654,28.577568
109500,11.466372,37.008453
109601,21.3207,27.331951
109603,19.751774,28.58156
109604,15.951807,22.26506
109700,28.997461,13.515228
109800,21.970554,18.431484
111100,28.036053,10.056926
111201,35.658306,14.851097
111202,35.887543,8.0760746
111204,57.533001,5.4164772
111205,40.978218,5.3842993
111206,47.678108,6.6916642
111301,30.12299,14.607379
111302,45.418568,6.4231353
111400,32.888412,15.607759
113101,45.76466,4.9060941
113102,49.036308,4.482295
113211,48.741417,4.870873
113212,46.441795,5.8412175
113213,35.167393,5.9388647
113231,47.166248,3.211587
113232,39.397518,10.129947
113233,14.817951,21.782389
113234,22.259026,27.459423
113235,29,7.3846154
113237,36.09166,13.621897
113301,43.379269,8.148592
113303,31.455717,8.1438751
113321,39.73024,13.558921
113322,42.491081,10.768732
113401,30.812325,17.49427
113421,16.484583,21.680019
113422,26.858908,25.108135
115101,49.541779,6.5498652
115103,47.120419,1.3089005
115104,50.132862,5.4030113
115201,38.038391,3.3473783
115202,38.64492,5.9598494
115301,45.421772,5.8399425
115302,15.588116,35.246235
115401,31.259483,16.059687
115403,24.010672,19.742107
115404,22.516199,24.136068
117101,32.842045,25.250278
117102,21.066252,21.635611
117201,20.645864,38.679245
117202,32.03125,13.560267
117301,39.316238,5.9829059
117302,41.225628,8.1615601
117303,24.848942,11.442598
117404,24.02072,17.869862
117405,7.5817642,51.040634
117407,2.4552429,66.751915
117408,8.7599545,44.027306
117510,4.4589176,45.440884
117520,10.993759,42.918865
117530,14.198659,41.74284
119001,19.251753,31.410755
119002,9.6619368,45.659431
119201,13.137806,40.658897
119202,7.7516661,39.670292
119310,15.209435,32.289547
119320,16.731934,43.111427
119340,7.0675106,57.911392
119341,22.902494,32.199547
119342,9.4282846,42.678036
119400,10.514905,51.056911
119700,30.205542,25.081919
119800,14.098442,36.507545
119900,17.330917,32.940823
120010,19.295204,35.990757
120020,18.885221,42.060871
120030,9.1613817,49.682877
120103,5.0282841,55.248272
120104,16.400766,43.969368
120105,13.686534,36.534218
120106,10.379842,48.664913
120107,5.1150894,46.598465
120108,9.8555374,48.34671
120300,20.683262,30.561441
120400,20.977327,27.911072
121010,22.425198,38.267715
121020,20.01634,35.253269
121101,17.423201,29.802843
121102,23.220339,28.192091
121210,18.500948,35.815941
121221,11.738579,40.164974
121222,5.5868015,41.394825
121600,28.190199,13.148957
121801,14.48344,40.583294
121802,13.005419,31.971655
121900,12.99894,38.996822
122000,21.048983,24.052681
122120,10.468227,36.053513
122121,12.987013,45.454544
122122,4.4787078,50.440529
122200,7.68929,40.643391
122410,10.458389,47.129505
122420,17.535034,41.142651
123010,7.2583828,46.153847
123020,10.212766,40.595745
123103,27.139185,30.33419
123104,16.548702,34.95113
123203,5.756824,41.488834
123204,11.501901,36.311787
123205,12.664757,47.106018
123206,9.799427,44.011463
123301,28.695652,16.8438
123303,20.96475,27.458256
123304,31.034483,22.619425
123410,21.765989,36.99128
123420,19.934641,35.984024
123510,20.604395,26.617826
123520,35.049503,19.60396
123601,29.378109,17.338308
123602,32.587994,18.592133
123700,33.805443,10.137905
123800,32.271965,12.329423
123901,23.914616,24.276411
123902,45.606495,6.2082138
124000,61.962833,5.4006968
124102,39.81884,20.942028
124103,14.357502,45.297916
124104,22.902002,29.290741
124105,25.925926,27.418463
124201,20.342613,25.010706
124203,9.8396902,36.70536
124204,19.600819,26.560902
124300,14.529591,34.294384
124400,43.061367,12.308228
124500,41.680962,6.903945
124600,50.625755,2.9067421
124700,51.634335,5.0491629
124902,38.167259,8.6298933
124903,38.396778,9.7364569
125100,45.96685,8.6850824
125200,41.300465,14.183637
125310,35.8414,22.447706
125320,41.306557,12.633452
125401,47.453339,4.0493517
125402,52.695168,7.8066916
125501,41.24498,10.64257
125502,44.652313,7.3420401
125600,54.56892,4.1300979
127102,19.032259,29.096775
127103,22.075378,36.759666
127104,20.352564,25.921474
127210,22.130014,26.832642
127220,17.63979,36.886005
127300,27.258759,19.45298
127400,11.770944,42.046661
127520,12.606404,46.209972
127603,13.450937,29.437706
127604,30.577637,23.688395
127605,16.425703,25.863453
127606,20.969748,25.652714
127711,34.159439,21.726559
127712,20.975609,24.682926
127803,16.725853,33.771305
127804,27.715355,23.670412
127805,19.218584,33.051743
127806,20.281307,32.940109
127910,14.415995,33.70747
127920,17.17514,27.532957
128101,27.798586,24.053267
128102,10.340439,40.407253
128210,9.955471,58.015266
128220,32.432434,18.160265
128302,15.179718,38.254173
128303,7.4074073,50.130413
128400,42.366665,11.933333
128500,48.128342,4.9386601
128601,27.735537,22.644629
128602,45.721371,5.6634974
128702,48.111374,4.8348804
128801,54.580448,8.5065432
128802,59.126984,3.8548753
128910,54.888451,6.4960628
131010,18.132715,24.639917
131020,18.092644,32.561306
131100,30.498281,18.943298
131200,30.376345,13.978495
131300,14.876033,30.948988
131400,28.521618,17.433752
131600,24.650351,24.854313
131701,27.362265,18.990459
131702,20.263382,29.821581
131800,20.382166,34.191082
131900,24.664703,17.402683
132001,26.929903,13.797693
132002,25.342466,21.618151
132101,29.078947,19.605263
132102,27.707676,19.716089
132300,22.859627,28.943937
132501,15.313146,30.006882
132502,18.441971,25.278219
132700,17.735966,34.793339
132900,31.636763,9.2273893
133000,17.398537,26.61344
133100,31.481482,23.379629
134001,12.08,48.880001
134002,17.269373,33.357933
134101,21.604355,31.258873
134103,19.553253,22.466818
134104,25.319149,18.900709
134201,20.019468,23.718365
134302,28.896797,7.6156583
134303,25.437572,21.376896
134304,27.239655,13.642565
134305,7.8154783,53.564621
134306,25.86841,10.870454
134421,47.604206,4.6357617
134422,42.571507,6.1094141
134423,54.230293,2.6826248
134424,66.350471,2.24663
134520,14.333844,36.99847
134521,3.495702,47.449856
134522,19.817677,30.043598
134710,15.748899,35.903084
134720,24.422735,27.14624
134800,22.491983,22.766834
134901,37.149029,11.101512
134903,39.240505,15.005274
134904,24.14316,27.327873
134905,60.66267,1.480437
135102,45.148861,5.218914
135111,47.86795,9.8120127
135113,53.867531,3.3811951
135114,68.837875,5.0215206
135201,43.085373,4.5431852
135202,37.293621,4.3056006
135203,41.06559,4.8855548
137000,55.633598,2.6631548
137103,53.653156,3.9426522
