Area,Labor_Force_Participation_Rate,Unemployment_Rate
101110,62.563709,8.7983704
101122,80.622093,8.2483368
101210,70.290001,9.4922104
101220,64.473686,8.0316
101300,59.310165,8.788806
101400,59.821686,11.730769
102103,66.996292,11.07011
102104,60.5905,11.387712
102105,69.380089,11.371841
102107,59.594757,7.3000002
103101,66.336205,9.6816111
103102,64.530838,11.491261
103200,53.747009,6.6461115
103300,64.400841,5.9303589
103400,69.775658,9.2658224
104103,61.467598,13.850129
104105,61.938919,14.717968
104108,60.067638,10.480727
104124,63.901222,10.030396
104201,62.972153,12.478108
104203,74.257988,13.950807
104204,55.277676,12.109115
104310,63.631687,14.834276
104320,66.466232,20.45929
104401,67.297699,12.41037
104403,63.060345,16.267942
104404,68.035629,13.454545
104500,62.117348,8.3504448
104610,61.126648,11.176471
104620,62.524502,12.476489
104701,58.81226,21.433226
104703,63.612217,12.734864
104704,61.50732,13.063292
104810,63.605518,7.7880511
104821,66.588234,12.13192
104822,75.678444,20.230042
106010,63.833332,7.3759789
106020,60.269497,9.6205959
106111,63.502537,10.431655
106112,60.844154,8.7513342
106113,59.992664,5.3178482
106114,68.556938,10.0538
106403,64.008545,9.4549503
106405,62.858219,10.677864
106406,70.126877,5.8223686
106407,56.502892,5.4560957
106408,72.450134,12.831169
106510,64.16954,10.215054
106520,61.326824,7.9956584
106603,63.457836,8.6165047
106604,64.597366,6.4823208
106641,68.526787,9.4462538
106642,64.602394,10.511983
106643,63.01812,5.9078379
106645,54.51796,8.1830788
106646,64.765205,11.678832
106648,67.6511,8.0203047
106649,63.541668,15.300547
107010,58.698273,13.347023
107020,64.495842,9.8189411
108101,61.96257,4.3265305
108102,61.605415,4.1862898
108103,63.699825,7.452055
108104,58.81226,3.3659067
108201,61.197685,4.4016004
108202,61.753841,5.5415616
109100,53.825741,9.942481
109200,69.856018,6.9148936
109300,65.826828,15.363881
109400,62.873604,3.4936998
109500,63.048431,7.1396294
109601,61.928307,10.219561
109603,68.167107,12.473025
109604,65.401009,7.64218
109700,70.13298,9.2150173
109800,63.787769,3.2450578
111100,65.973022,7.3014021
111201,63.269566,11.324903
111202,59.888641,9.7805872
111204,59.440971,5.294311
111205,63.015873,7.4559193
111206,56.164738,5.453712
111301,67.048714,6.8600988
111302,59.038593,8.1422014
111400,67.784523,9.2008057
113101,58.212711,5.3513513
113102,56.863499,8.4288607
113211,64.44175,6.6384182
113212,68.500542,5.3018374
113213,63.812435,6.9089456
113231,61.336254,10.892858
113232,62.964947,9.4347639
113233,71.808983,6.7737947
113234,63.560268,7.023705
113235,68.225586,7.2580647
113237,61.845039,11.446597
113301,58.190956,8.8082905
113303,65.23864,8.197444
113321,69.896561,5.9800663
113322,66.609344,9.079174
113401,65.338905,8.555069
113421,72.844658,7.7992911
113422,73.783928,10.567902
115101,57.860508,7.9844961
115103,48.396675,30.981596
115104,66.974411,7.601418
115201,57.53756,6.4525809
115202,71.786438,7.7194219
115301,61.524979,9.9715099
115302,68.621338,9.772727
115401,71.056694,7.4511023
115403,65.081078,10.741971
115404,58.663696,7.9726653
117101,70.323189,12.713855
117102,68.664612,13.029525
117201,59.685715,8.4729538
117202,60.850224,10.722989
117301,73.264542,9.5603924
117302,63.701157,6.9830246
117303,68.429543,16.870876
117404,68.960594,12.463768
117405,66.283386,14.717403
117407,63.826431,5.8714461
117408,75.333336,18.112095
117510,68.229355,13.742072
117520,68.269585,15.154749
117530,70.574059,14.001863
119001,64.413391,8.7790108
119002,63.809692,9.2990789
119201,69.679298,7.7638307
119202,62.739407,16.096207
119310,63.840885,17.058222
119320,67.047455,12.363478
119340,74.285713,14.409534
119341,61.856129,8.614501
119342,71.059944,14.581006
119400,71.275169,17.168863
119700,63.911919,7.215241
119800,69.230766,8.604845
119900,63.382057,8.7077532
120010,73.016624,14.508783
120020,68.5755,13.419194
120030,60.189838,13.821893
120103,62.827988,12.761021
120104,67.576958,8.1557674
120105,56.703297,17.829458
120106,72.713554,19.88377
120107,66.568268,10.033259
120108,67.962959,17.321915
120300,69.663696,8.9983578
120400,64.530525,14.495159
121010,60.239979,6.8356724
121020,65.146042,8.7657433
121101,67.838387,11.137582
121102,64.634148,8.2264147
121210,55,9.2340727
121221,64.728264,12.93031
121222,66.935707,11.600832
121600,65.696205,6.1014771
121801,66.76783,11.25
121802,57.653061,18.230089
121900,63.800278,4.304348
122000,62.45668,14.580765
122120,66.010117,8.5080643
122121,61.075069,11.760242
122122,65.723984,14.802066
122200,65.925026,10.772076
122410,63.529003,16.457081
122420,68.918922,9.8465471
123010,64.736359,10.357816
123020,67.383148,9.5696201
123103,67.074661,9.5802917
123104,68.362389,8.9046822
123203,71.168831,15.641293
123204,70.860924,11.214953
123205,66.232513,8.6671524
123206,66.118279,10.423672
123301,71.56208,8.6567163
123303,61.056973,9.8833637
123304,56.718033,18.827456
123410,62.459064,12.345091
123420,73.627365,15.118175
123510,66.809692,12.429165
123520,63.166061,9.090909
123601,70.417305,7.4464784
123602,65.720963,7.6688676
123700,63.329239,12.948593
123800,69.714165,14.591498
123901,65.989998,6.3753901
123902,75.504944,9.5617533
124000,69.940773,13.055752
124102,73.834198,4.7368422
124103,66.824646,18.085106
124104,72.67025,12.083847
124105,67.304108,14.483714
124201,65.708885,7.767549
124203,70.95903,10.025381
124204,71.812347,10.999442
124300,69.488052,9.7740669
124400,64.709351,8.3903332
124500,76.181404,9.8049021
124600,70.777382,8.6869698
124700,79.886955,14.829009
124902,63.031708,10.981595
124903,67.208763,16.098766
125100,76.369049,15.822291
125200,79.021667,10.718737
125310,72.222221,18.481518
125320,70.185364,13.205449
125401,89.595375,11.064516
125402,86.206894,9.4285717
125501,81.872581,8.2545137
125502,87.220024,14.879154
125600,69.318726,4.2611685
127102,69.096512,10.735513
127103,71.18084,7.6566124
127104,74.567581,21.778351
127210,73.205635,9.6240597
127220,64.49295,10.197086
127300,69.71904,8.2089548
127400,68.780907,13.660519
127520,71.477196,11.857142
127603,71.526505,13.674122
127604,65.768692,6.0734463
127605,74.27536,8.8691797
127606,68.435104,9.1662607
127711,77.438805,7.9248738
127712,66.722481,8.6574659
127803,67.155144,11.053131
127804,72.400993,12.692307
127805,63.456501,9.3993578
127806,73.674522,14.392803
127910,67.786072,10.972477
127920,72.645889,10.543131
128101,70.854454,9.9131327
128102,70.485641,11.11534
128210,68.80407,17.455622
128220,74.39695,11.433447
128302,68.619659,12.771346
128303,71.704315,21.592211
128400,73.552986,12.752219
128500,72.23922,4.2356567
128601,74.645088,10.19399
128602,71.068474,7.3054528
128702,81.643005,11.751553
128801,74.197998,7.3454208
128802,73.60968,5.2465897
128910,76.889534,7.2589793
131010,68.764091,10.938897
131020,63.674553,6.3194447
131100,70.980392,8.3375187
131200,69.508446,5.8563538
131300,60.833935,5.9825673
131400,63.31118,4.4458165
131600,67.985527,11.439974
131701,64.831551,11.195606
131702,62.829403,7.3399558
131800,66.359543,8.8472719
131900,66.758774,8.5264902
132001,69.486771,6.0588574
132002,69.324715,10.518135
132101,66.198418,7.5596819
132102,67.435837,10.963687
132300,66.189903,7.1075239
132501,53.377983,6.7103109
132502,61.511139,11.548556
132700,63.858307,5.3223391
132900,64.892265,7.4707031
133000,66.530167,12.761592
133100,62.792542,4.8957677
134001,70.715981,9.5489445
134002,65.151978,9.7078228
134101,66.138214,9.3730793
134103,68.771141,5.7786884
134104,68.424171,5.9307361
134201,65.576187,4.8539324
134302,63.828484,10.508637
134303,65.992142,9.8243523
134304,59.484493,10.020311
134305,73.665894,10.748032
134306,62.806774,13.5388
134421,55.834419,4.3199067
134422,65.533157,6.1897702
134423,63.274647,10.461881
134424,65.67556,9.3874836
134520,70.735825,6.3096862
134521,74.865829,5.4958186
134522,76.650284,11.085662
134710,71.94075,8.6541328
134720,70.03949,9.3375616
134800,64.594597,8.9360428
134901,63.181992,6.521739
134903,72.622055,6.7806435
134904,68.367348,8.470149
134905,80.739548,7.0091596
135102,61.68251,10.228865
135111,67.699837,4.5180721
135113,71.022728,2.8571429
135114,61.889725,18.602825
135201,61.434978,5.4014597
135202,64.222404,10.37223
135203,59.532104,5.3232999
137000,62.605366,5.0999594
137103,74.629913,2.4623804
137104,65.228218,8.333333
137201,67.69902,5.9600515
137301,60.729847,6.7264576
137302,60.50972,6.6435084
137401,68.303032,7.6308784
137402,55.640793,12.530414
137501,61.774437,7.4488802
137502,60.510864,5.8709364
137504,65.146393,8.7294731
138000,65.454094,6.3894138
139001,77.220078,5.9666667
139200,74.501549,12.340173
139301,64.874283,6.7920184
139302,64.839218,8.0894308
139303,69.738304,14.93014
139401,67.517403,7.1019473
139402,52.879341,9.1616249
139502,61.928932,4.413619
139503,67.816742,14.011677
139504,60.714287,15.989305
139600,68.312759,6.3629518
139701,60.619362,4.8270316
139702,59.67371,5.1174202
139703,63.743973,6.1210456
139801,53.286713,2.8871391
139802,58.078205,4.8538623
141101,76.472046,5.920414
141102,78.92395,6.7657614
141201,81.139099,7.6895943
141202,66.570251,11.297331
141302,80.753304,8.7912092
141303,78.148544,13.682278
141304,75.830467,7.9556899
141400,65.518135,5.6939502
141500,62.769485,7.7939234
141600,64.647606,10.770578
141700,68.328896,8.1337051
143100,79.248161,11.76282
143200,83.174507,11.385607
143300,73.976196,6.6713982
143400,78.417,8.4579439
143500,79.884911,12.21349
143602,67.72168,13.390207
143603,86.549706,9.5157661
143604,81.346336,7.6952825
143700,76.84375,9.0687275
143800,77.670792,12.396694
143901,71.810883,7.5776396
143902,75.601929,11.78344
181000,62.870159,6.1292272
181300,64.300941,6.3477025
181400,63.533352,8.9177141
181500,70.052979,11.521353
181600,62.941902,11.429693
183101,73.516739,9.5130749
183103,72.654152,6.3140631
183104,63.369965,9.5788603
183220,64.658073,15.561335
183221,72.253868,9.4594593
183222,64.200478,9.824748
183300,63.642731,8.4204731
183401,67.407051,14.61318
183402,62.927223,12.587859
183510,68.90799,10.051357
183520,63.139931,13.675675
183610,64.538239,15.930688
183620,74.723923,14.176245
183701,72.685326,5.9246721
183702,68.089973,9.4064951
183810,70.966759,8.165019
183820,63.343826,13.638873
185100,64.156967,10.3307
185202,78.129906,10.803213
185203,66.439133,14.726027
185204,59.417595,6.986444
185310,63.920101,9.375
185320,59.722824,13.343002
186100,64.604546,8.727273
186201,62.058487,4.9571605
186202,67.434807,2.7877698
186203,66.062805,8.5923214
186301,65.80806,5.1767678
186302,65.579445,7.686511
186401,62.349609,9.8751421
186403,66.762527,7.3846154
186404,72.839508,11.18644
187101,64.375,8.7985439
187102,61.466297,8.083663
187200,63.408192,8.6805553
187300,77.171127,8.594492
188100,69.859673,7.8165941
188201,83.599091,6.2281041
188202,71.65432,12.956582
188300,69.848625,8.1822205
189101,69.897087,16.01227
189102,79.730209,6.5004454
189201,74.629326,10.154526
189202,68.339935,15.206185
189300,65.724243,8.1909256
189400,81.139671,10.572519
189500,80.944756,10.979228
189600,84.175285,10.592914
189701,76.118042,8.3932858
189702,79.746101,7.5976844
189800,80.128891,6.7024131
189902,83.430458,9.5227013
189903,74.681152,5.0600886
189904,72.521599,13.726603
189905,77.969093,15.288788
190100,82.112213,15.407289
190201,59.577858,7.352941
190202,70.602005,17.243013
190301,75.876289,10.081522
190401,70.479233,14.233908
190402,65.121719,8.8425589
190510,71.690475,14.048489
190520,66.203842,10.174029
190700,72.753075,2.9908972
190801,61.424847,16.690241
190802,75.311203,7.493113
190901,75.973656,9.4232941
190902,73.214287,13.395277
191000,80.216385,10.558767
191110,73.542877,6.7219915
191120,62.578617,15.410385
191201,59.63409,8.6601944
191203,66.408272,13.424125
191204,66.996696,14.778325
191301,66.6362,6.9958849
191302,67.04599,9.9717112
191410,64.121338,11.908646
191420,76.243652,8.4775858
191500,71.568199,13.778452
191610,72.132492,11.271347
191620,66.969574,9.4985247
191710,67.970657,15.227818
191720,73.220337,12.5
191810,79.784172,16.63661
191820,80.093178,10.417768
191901,80.561623,12.393494
191902,77.191559,8.4121981
192001,67.582169,7.4616923
192002,80.341522,7.6205287
192300,76.598312,7.3490815
192410,72.679962,10.302307
192420,70.244484,9.0407467
192510,66.861977,10.856865
192520,73.402008,11.874775
192610,69.448112,20.570343
192620,69.880363,14.3001
192700,66.876175,16.165413
194101,82.352943,7.3149743
194102,75.063293,7.7993255
194200,76.756065,9.1514139
194300,70.932755,10.353867
194401,74.751831,3.290993
194402,86.759918,7.3865767
194500,65.315575,13.475178
195100,69.720833,9.9931555
195201,78.40181,8.4134617
195202,78.573914,4.603807
195300,74.482552,6.7090116
195400,70.553932,10.606061
195500,68.458702,4.6848669
195600,75.25473,12.088975
195710,65.681877,14.538153
195720,75.013405,12.651895
195802,67.921227,14.690722
195803,71.180031,9.2986183
195804,75.258217,12.227075
195901,74.370155,10.553746
195902,74.205505,8.0656672
195903,75.428574,10.261708
197200,62.032085,6.4176245
197300,71.457199,9.0945511
197410,75.174339,4.8979592
197420,61.174114,11.341331
197500,78.769958,13.063063
197600,70.201279,11.608392
197700,64.897224,9.0845804
199000,61.998215,7.8057556
199110,63.155293,17.384495
199120,53.45805,11.558855
199201,65.359062,15.488868
199202,64.545067,12.971542
199300,63.705235,12.378378
199400,56.902172,13.085005
199700,70.200462,12.355848
199800,61.052368,12.28866
199900,59.371834,13.225256
201110,61.209965,10.631229
201120,72.463326,16.786165
201200,70.89814,16.985138
201301,63.677811,13.066826
201302,66.460396,9.357542
201401,66.882446,14.789005
201402,62.872627,11.912226
201501,65.090248,14.952615
201503,58.712914,15.516014
201504,64.648911,13.29588
201601,61.649143,11.759425
201602,68.476433,11.247695
201700,60.371761,16.082542
203100,57.171951,14.860051
203200,60.782703,6.1233678
203300,39.938652,4.3010755
203500,63.844303,11.187932
203600,59.797867,12.159624
203710,62.283875,10.845707
203720,50.173447,15.021998
203800,59.646259,10.720803
203900,71.793724,16.801998
204110,57.308971,12.753623
204120,64.32093,17.28223
204200,55.519215,12.960236
204300,51.626553,17.213116
204410,66.51757,9.5100861
204420,59.416706,16.888519
204600,68.520714,14.939551
204700,62.049789,7.1702943
204810,59.134483,8.8930063
204820,58.94508,6.0885611
204910,59.40377,8.4870853
204920,57.415035,11.569507
205110,62.207741,5.4836721
205120,56.752277,16.861315
206010,57.347672,7.6388888
206020,4.5767198,4.6242776
206031,82.250938,5.4154611
206032,58.956974,8.1822205
206050,45.566898,28.537735
206200,42.00256,15.384615
206300,30.954588,41.077843
207101,51.512943,5.9447985
207102,44.581547,9.626955
207103,46.360153,8.8547812
207301,66.68129,11.348684
207302,78.760841,8.3700438
207400,1.1099899,
207501,77.186127,0
207502,44.933388,4.4025159
207710,75.661201,8.3185844
207900,67.424057,4.835165
208000,61.870502,12.195122
208301,69.030731,15.667809
208302,68.673981,18.747301
208401,61.118999,10.176579
208402,71.283783,16.943129
208501,66.960556,7.4151073
208502,70.789474,13.54222
208610,65.643478,16.516516
208620,64.895889,16.824352
208710,76.713486,9.3372393
208720,72.529984,12.401575
208801,63.173218,8.1221199
208802,71.361504,10.800439
208902,74.712067,5.2949061
208903,69.978065,9.7626514
208904,65.356453,8.7853775
209102,59.883411,6.3716812
209103,63.649372,7.7571669
209104,58.902576,10.171103
209200,61.742828,7.3436604
209300,66.121628,8.0694141
209401,64.841499,10.320988
209402,77.45031,12.654867
209403,55.788387,15.332512
209510,70.850769,7.9396324
209520,72.668007,12.491373
209810,63.573586,12.69518
209820,69.366364,15.178572
210010,65.9067,13.14529
211000,71.131706,4.4216342
211120,65.730461,8.7114935
211121,70.731705,7.3187895
211122,68.95488,15.548099
211201,76.510605,4.1317992
211202,76.898445,10.172517
211310,65.700348,14.416776
211320,72.188904,14.745586
211410,64.411369,9.3137255
211420,71.541504,7.4836764
211500,74.799484,12.971291
211701,72.475075,6.6985645
211703,73.894112,5.9243178
211704,68.649887,10.611111
211802,76.89373,11.339476
211803,71.301308,11.780456
211804,59.596329,11.14532
211910,75.435005,10.786974
211921,68.545357,6.2646828
211922,80.869568,12.903226
212101,73.701164,9.1803274
212102,53.607723,6.7298579
212202,74.383423,15.517241
212203,66.666664,4.4585986
212204,74.098602,8.341609
212303,77.886116,10.415624
212304,77.749031,9.6505823
212305,76.041664,15.068493
212306,72.304443,12.105263
212410,79.721497,11.535663
212420,73.545967,12.551021
212501,76.782845,8.6592178
212502,76.458504,3.9226222
212610,71.647621,8.7704573
212620,74.980415,10.066179
212701,63.08411,9.2592592
212702,72.213501,9.956522
212800,66.786568,7.8994613
212900,66.666664,8.2889738
213100,66.865166,9.7328243
213201,63.274822,13.95752
213202,68.224007,12.562358
213310,70.190697,9.1515732
213320,60.648647,14.349376
213401,78.449036,13.58163
213402,75.100723,15.951359
214000,62.958885,7.3469386
214100,69.302185,5.2290406
214400,86.732452,9.8609352
214501,73.475006,5.4633102
214502,67.135017,6.8345323
214503,73.019348,5.8499999
214600,78.262711,4.6020575
214700,72.637032,8.4967318
214800,82.185791,6.1613474
214901,73.475609,8.3909636
214902,78.957237,8.0760098
215101,78.522957,5.6431112
215102,85.405762,7.1264367
216100,68.819702,9.4530725
216200,79.719795,6.7703834
216300,78.041336,6.1992178
216401,79.011742,3.8699691
216402,70.036102,7.216495
216700,70.018005,14.83069
216800,78.454842,9.847434
216900,72.497803,16.681805
217001,64.747124,10.672853
217002,73.439201,6.9312797
217100,75.653084,8.2872925
217200,76.750702,5.6366587
218110,71.584511,10.969011
218120,67.366646,14.797564
218210,67.817589,9.5100861
218220,62.854805,5.3842812
218300,63.770634,15.565395
218400,56.588669,10.337323
218500,71.138771,14.452366
218600,62.965694,10.134739
218701,62.579384,13.81733
218702,55.08234,21.237114
218800,71.748253,14.165042
218900,66.054008,8.7942286
219010,59.568611,13.405239
219020,66.01886,9.5670996
219300,62.813046,10.199351
219500,63.220676,15.408805
219700,71.196869,10.094266
219800,65.81234,13.20132
219901,68.226822,12.620933
219902,69.352478,10.899874
220000,68.139885,9.3198996
220100,59.330143,10.30466
221110,69.741318,13.372376
221120,72.49897,15.218626
221210,72.047577,9.1391506
221220,76.814514,13.473316
221302,76.482437,20.772381
221303,67.005074,15.633609
221304,68.084358,13.009809
221401,46.960865,12.677305
221402,56.585754,7.313643
221500,63.891674,18.785976
221601,67.212517,9.2582569
221602,62.712585,22.508474
221710,58.249889,10.538116
221810,47.541668,13.321648
221820,50.244381,13.03502
221900,36.828964,16.016949
