Area,Homeless_count
101110,0
101120,0
101210,18
101220,33
101300,39
101400,4
102101,0
102102,3
103101,15
103102,6
103200,82
103300,15
103400,39
104103,2
104104,51
104105,13
104106,15
104107,0
104201,12
104202,22
104310,2
104320,90
104401,14
104402,37
104500,31
104610,28
104620,3
104701,8
104702,32
104810,8
104820,0
106010,21
106020,80
106111,13
106112,156
106113,21
106114,36
106402,18
106403,4
106404,45
106510,1
106520,2
106602,0
106603,0
106604,14
106605,18
106606,0
106641,0
106642,0
106643,0
107010,2
107020,11
108101,0
108102,18
108103,0
108104,0
108200,9
109100,0
109200,0
109300,0
109400,0
109500,0
109601,0
109602,0
109700,0
109800,0
111100,0
111201,0
111202,0
111203,2
111204,0
111301,0
111302,0
111400,1
113100,7
113202,68
113211,2
113212,5
113213,0
113231,0
113232,0
113233,5
113234,21
113301,2
113303,36
113321,5
113322,3
113401,10
113421,16
113422,4
115101,4
115102,0
115201,4
115202,62
115301,1
115302,30
115401,9
115402,31
117100,2
117200,17
117301,3
117302,14
117303,13
117404,16
117405,10
117406,6
117510,16
117520,68
117530,12
119000,22
119100,5
119200,7
119310,6
119320,8
119330,8
119340,6
119400,5
119700,133
119800,6
119900,19
120010,16
120020,57
120030,40
120101,39
120102,7
120300,3
120400,6
121010,22
121020,5
121100,32
121210,9
121220,24
121600,4
121800,503
121900,7
122000,26
122110,101
122120,13
122200,27
122410,9
122420,20
123010,29
123020,18
123103,8
123104,9
123203,8
123204,7
123205,31
123206,19
123301,17
123303,8
123304,27
123410,3
123420,0
123510,0
123520,0
123601,0
123602,0
123700,0
123800,15
123900,7
124000,0
124101,15
124102,2
124201,11
124202,2
124300,15
124400,3
124500,6
124600,5
124700,0
124901,9
125100,0
125200,69
125310,17
125320,47
125400,9
125500,8
125600,0
127101,14
127102,7
127210,24
127220,12
127300,43
127400,0
127510,0
127520,16
127601,0
127602,2
127710,17
127801,9
127802,12
127910,52
127920,0
128100,7
128210,87
128220,0
128302,9
128303,32
128400,4
128500,14
128600,2
128702,21
128800,0
128910,0
131010,0
131020,0
131100,0
131200,6
131300,0
131400,43
131600,4
131700,0
131800,0
131900,0
132000,11
132100,0
132300,0
132500,0
132700,18
132900,9
133000,0
133100,15
134000,11
134101,0
134103,2
134104,7
134201,13
134302,0
134303,21
134304,2
134305,6
134306,0
134401,0
134421,0
134422,0
134510,73
134520,34
134710,13
134720,6
134800,4
134901,4
134902,23
135102,0
135111,8
135112,10
135201,0
135202,0
135203,0
137000,31
137102,18
137201,11
137301,15
137302,14
137401,3
137402,3
137501,5
137502,6
137504,0
138000,0
139000,52
139200,1
139301,13
139302,8
139303,24
139400,19
139501,2
139502,6
139600,7
139701,0
139702,0
139703,1
139801,3
139802,0
141100,3
141200,27
141301,6
141302,4
141400,0
141500,0
141600,0
141700,20
143100,1
143200,8
143300,2
143400,3
143500,5
143601,46
143602,4
143700,39
143800,3
143901,5
143902,1
181000,23
181300,9
