Area,Homeownership_Rate,Renter_Rate
101110,46.44,53.56
101122,84.15,15.85
101210,15.01,84.99
101220,36.68,63.32
101300,85.86,14.14
101400,64.89,35.11
102103,68.82,31.18
102104,78.67,21.33
102105,46.45,53.55
102107,71.94,28.06
103101,79.19,20.81
103102,74.26,25.74
103200,64.34,35.66
103300,84.8,15.2
103400,57.98,42.02
104103,80.63,19.37
104105,49.77,50.23
104108,48.53,51.47
104124,82.82,17.18
104201,70.35,29.65
104203,42.84,57.16
104204,62.36,37.64
104310,62.7,37.3
104320,46.48,53.52
104401,56.6,43.4
104403,63.29,36.71
104404,46.27,53.73
104500,56.1,43.9
104610,55.68,44.32
104620,62.14,37.86
104701,24.35,75.65
104703,39.04,60.96
104704,55.92,44.08
104810,63.22,36.78
104821,43.86,56.14
104822,37.13,62.87
106010,72.37,27.63
106020,88.17,11.83
106111,88.67,11.33
106112,84.68,15.32
106113,85.17,14.83
106114,42.86,57.14
106403,81.41,18.59
106405,53.82,46.18
106406,76.81,23.19
106407,28.95,71.05
106408,16.6,83.4
106510,69.04,30.96
106520,67.73,32.27
106603,85.69,14.31
106604,45.43,54.57
106641,93.75,6.25
106642,89.93,10.07
106643,92.37,7.63
106645,94.15,5.85
106646,82.77,17.23
106648,51.56,48.44
106649,84.06,15.94
107010,74.09,25.91
107020,74.57,25.43
108101,86.32,13.68
108102,76.66,23.34
108103,90.18,9.82
108104,92.77,7.23
108201,70.99,29.01
108202,59.61,40.39
109100,79.32,20.68
109200,78.74,21.26
109300,78.85,21.15
109400,83.45,16.55
109500,57.48,42.52
109601,67.45,32.55
109603,53.51,46.49
109604,75.28,24.72
109700,80.82,19.18
109800,84.92,15.08
111100,79.19,20.81
111201,93.63,6.37
111202,63.01,36.99
111204,90.22,9.78
111205,51.86,48.14
111206,86.1,13.9
111301,32.07,67.93
111302,51.26,48.74
111400,34.46,65.54
113101,81.04,18.96
113102,94.08,5.92
113211,82.67,17.33
113212,64.51,35.49
113213,64.86,35.14
113231,82.87,17.13
113232,90.67,9.33
113233,24.84,75.16
113234,44.51,55.49
113235,65.85,34.15
113237,58.59,41.41
113301,68.73,31.27
113303,88.93,11.07
113321,28.99,71.01
113322,91.67,8.33
113401,71.16,28.84
113421,23.7,76.3
113422,53.47,46.53
115101,91,9
115103,0,100
115104,21.22,78.78
115201,25.46,74.54
115202,42.04,57.96
115301,64.13,35.87
115302,33.53,66.47
115401,36.83,63.17
115403,28.97,71.03
115404,47.82,52.18
117101,67.09,32.91
117102,79.95,20.05
117201,27.55,72.45
117202,85.82,14.18
117301,94.05,5.95
117302,74.97,25.03
117303,83.7,16.3
117404,69.53,30.47
117405,8.78,91.22
117407,1.96,98.04
117408,18.43,81.57
117510,15.76,84.24
117520,23.25,76.75
117530,23.29,76.71
119001,80.28,19.72
119002,65.66,34.34
119201,73.34,26.66
119202,69.03,30.97
119310,47.39,52.61
119320,22.6,77.4
119340,3.3,96.7
119341,37.86,62.14
119342,42.91,57.09
119400,81.12,18.88
119700,88.56,11.44
119800,73.04,26.96
119900,66.22,33.78
120010,59.2,40.8
120020,17.1,82.9
120030,10.12,89.88
120103,7.84,92.16
120104,10.95,89.05
120105,34.47,65.53
120106,8.43,91.57
120107,6.8,93.2
120108,31.9,68.1
120300,76.99,23.01
120400,29.28,70.72
121010,74.07,25.93
121020,46.2,53.8
121101,44.06,55.94
121102,71.2,28.8
121210,61.21,38.79
121221,64.44,35.56
121222,28.16,71.84
121600,82.59,17.41
121801,27.02,72.98
121802,78.98,21.02
121900,66.95,33.05
122000,62.99,37.01
122120,58.3,41.7
122121,40.53,59.47
122122,17.03,82.97
122200,48.17,51.83
122410,5.96,94.04
122420,35.1,64.9
123010,32.31,67.69
123020,60,40
123103,33.64,66.36
123104,24.06,75.94
123203,15.1,84.9
123204,17.13,82.87
123205,20.2,79.8
123206,23.19,76.81
123301,42.68,57.32
123303,29.06,70.94
123304,16.04,83.96
123410,19.59,80.41
123420,31.52,68.48
