Area,Immigrant_Citizen,Immigrant_Non-Citizen,Immigrant
101110,62.545235,37.454765,34.369816
101122,90.951065,9.0489378,32.907932
101210,46.94323,53.05677,46.718803
101220,60.846561,39.153439,45.589249
101300,83.661789,16.338207,35.668934
101400,73.990074,26.009922,34.339256
102103,83.07373,16.926271,52.054054
102104,72.439949,27.560051,45.446712
102105,49.933067,50.066933,38.4655
102107,68.31913,31.680868,32.833164
103101,67.011833,32.988167,24.160114
103102,80.422462,19.577538,39.897224
103200,74.526855,25.473146,31.036673
103300,69.795425,30.204573,25.235348
103400,69.402626,30.597378,30.925203
104103,49.696602,50.303398,41.005226
104105,38.546711,61.453289,49.494778
104108,40.130863,59.869137,37.299168
104124,49.23077,50.76923,27.184015
104201,26.301853,73.698143,46.443943
104203,32.035549,67.964455,48.943661
104204,37.390213,62.609787,47.271648
104310,26.761087,73.238914,52.016285
104320,41.759998,58.240002,46.98365
104401,31.405514,68.594482,40.102482
104403,41.154701,58.845299,46.282974
104404,28.225176,71.774826,46.18996
104500,40.159191,59.840809,45.356087
104610,37.782341,62.217659,43.161003
104620,32.408005,67.591995,45.265926
104701,35.099792,64.900208,37.113667
104703,19.921492,80.078506,44.909653
104704,42.034657,57.965343,40.301868
104810,43.785774,56.214226,42.186962
104821,34.726223,65.273773,42.278404
104822,32.01646,67.983536,47.239502
106010,41.366905,58.633095,27.883652
106020,42.565056,57.434944,34.272972
106111,55.303032,44.696968,30.149502
106112,62.74617,37.25383,30.421036
106113,50.41254,49.58746,35.079594
106114,31.642303,68.357697,39.250759
106403,50.536194,49.463806,41.992683
106405,61.759869,38.240131,31.79085
106406,49.200428,50.799572,34.140129
106407,31.218531,68.781471,34.347977
106408,24.272488,75.727516,38.689865
106510,56.653385,43.346615,24.364201
106520,37.634407,62.365593,36.205147
106603,80.349342,19.650656,35.165848
106604,41.602375,58.397625,36.330315
106641,87.677055,12.322947,32.913754
106642,80.5326,19.467402,31.823496
106643,83.432343,16.567657,31.874605
106645,81.494659,18.505339,25.254644
106646,68.635727,31.364275,38.547031
106648,31.168201,68.831795,51.652477
106649,64.116577,35.883423,41.324802
107010,42.228962,57.771038,42.32991
107020,48.395931,51.604069,46.062355
108101,73.646576,26.353422,40.910992
108102,85.57312,14.426877,40.960606
108103,91.980812,8.0191908,44.118538
108104,86.842102,13.157895,36.575481
108201,77.687958,22.312046,42.319534
108202,78.632477,21.367521,37.431446
109100,67.886177,32.113823,37.244511
109200,69.657425,30.342577,22.470675
109300,79.752853,20.247149,30.422209
109400,52.744122,47.255878,41.119579
109500,40.671642,59.328358,40.025604
109601,44.281376,55.718624,39.718594
109603,49.477566,50.522434,39.176498
109604,62.488392,37.511608,34.809307
109700,73.747498,26.252504,31.79019
109800,55.225895,44.774105,28.734741
111100,71.672356,28.327644,27.18837
111201,67.927773,32.072227,34.33717
111202,68.163803,31.836195,27.059875
111204,85.003189,14.996809,25.36009
111205,64.720001,35.279999,31.328321
111206,75.605385,24.394619,23.48852
111301,41.71521,58.28479,38.90218
111302,69.087402,30.912596,30.450098
111400,69.158272,30.841728,39.388123
113101,57.122807,42.877193,37.061119
113102,79.115044,20.884956,18.733421
113211,70.666664,29.333334,26.88172
113212,75.952126,24.047878,27.967133
113213,69.083153,30.916843,29.847263
113231,80.733948,19.266054,24.330357
