Area,Divorced_Separated,Married,Never_Married,Widowed
101110,11,51,32,6
101122,13,62,23,3
101210,14,37,42,7
101220,13,56,26,5
101300,9,54,31,6
101400,17,44,36,4
102103,12,50,32,6
102104,9,53,33,5
102105,17,41,40,3
102107,12,44,36,8
103101,12,52,28,7
103102,10,46,38,6
103200,15,42,33,10
103300,11,55,28,5
103400,15,50,32,4
104103,9,47,40,5
104105,8,43,44,4
104108,16,41,40,4
104124,10,50,36,4
104201,10,37,49,4
104203,7,48,42,3
104204,13,38,43,5
104310,8,40,45,6
104320,10,36,49,5
104401,6,49,42,3
104403,8,48,37,7
104404,6,45,47,2
104500,10,38,50,3
104610,12,37,45,6
104620,10,49,38,2
104701,8,40,49,2
104703,12,43,42,3
104704,11,34,50,5
104810,10,40,46,4
104821,9,40,45,6
104822,9,38,48,4
106010,9,43,42,6
106020,16,46,34,3
106111,13,46,38,3
106112,10,48,39,3
106113,10,51,35,4
106114,15,40,42,3
106403,9,46,42,4
106405,11,45,39,4
106406,9,51,36,4
106407,16,33,43,8
106408,16,41,41,2
106510,9,46,42,3
106520,8,41,45,7
106603,4,62,28,5
106604,11,42,42,5
106641,5,65,26,4
106642,4,57,33,6
106643,6,56,34,5
106645,5,65,23,7
106646,13,46,33,7
106648,13,43,43,2
106649,7,51,38,4
107010,12,42,42,4
107020,6,47,44,3
108101,7,65,23,6
108102,12,56,27,6
108103,3,63,28,6
108104,8,60,26,5
108201,7,68,18,7
108202,7,65,21,7
109100,9,47,32,12
109200,12,56,28,5
109300,9,50,36,6
109400,14,46,33,6
109500,9,45,42,4
109601,13,45,35,6
109603,17,37,39,7
109604,12,48,36,4
109700,10,48,36,6
109800,14,49,30,7
111100,8,56,33,3
111201,7,50,35,9
111202,13,45,35,7
111204,6,61,30,4
111205,9,47,41,4
111206,8,57,28,7
111301,13,48,34,5
111302,14,36,42,8
111400,11,50,32,7
113101,6,57,30,7
113102,10,55,30,5
113211,11,57,26,6
113212,10,47,38,5
113213,18,44,34,5
113231,14,57,23,6
113232,9,59,25,7
113233,14,36,47,3
113234,14,44,37,5
113235,19,43,33,5
113237,17,43,33,7
113301,7,55,30,8
113303,11,45,36,8
113321,13,45,40,3
113322,8,54,31,6
113401,10,48,34,8
113421,13,44,40,4
113422,12,46,37,5
115101,9,54,30,7
115103,1,5,94,0
115104,8,28,58,5
115201,11,33,52,3
115202,11,37,48,3
115301,13,47,34,7
115302,8,45,43,4
115401,9,45,43,2
115403,11,39,45,5
115404,18,37,41,4
117101,8,53,34,5
117102,16,37,43,4
117201,11,43,41,5
117202,10,53,33,4
117301,8,51,35,7
117302,7,54,32,7
117303,6,50,36,8
117404,12,43,38,7
117405,7,39,52,3
117407,7,45,46,1
117408,14,27,57,3
117510,10,36,50,3
117520,10,36,51,3
117530,12,34,51,3
119001,4,51,38,7
119002,6,46,42,6
119201,8,52,37,3
119202,13,45,40,3
119310,10,48,36,6
119320,11,43,42,3
119340,8,42,47,3
119341,10,42,43,5
119342,11,43,43,3
119400,10,44,42,5
119700,10,52,33,5
119800,8,44,44,5
119900,7,50,38,4
120010,10,46,40,4
120020,5,49,43,3
120030,11,39,47,4
120103,10,37,51,1
120104,11,36,48,5
120105,8,44,42,6
120106,7,39,51,3
120107,10,40,48,1
120108,10,37,49,5
120300,12,48,37,3
120400,9,41,43,7
121010,11,45,40,5
121020,9,45,43,3
121101,10,44,41,4
121102,15,48,34,3
121210,9,41,44,6
121221,8,47,41,5
121222,12,40,47,1
121600,8,50,36,7
121801,13,38,46,3
121802,11,38,46,5
121900,12,36,46,6
122000,10,42,39,9
122120,8,42,45,5
122121,10,38,43,9
122122,13,30,52,5
122200,7,54,38,2
122410,10,34,52,4
122420,9,44,46,0
123010,9,39,48,4
123020,8,36,53,3
123103,11,41,41,7
123104,18,33,44,5
123203,6,37,55,2
123204,12,42,45,1
123205,13,40,44,4
123206,13,36,45,6
123301,10,39,45,6
123303,13,44,37,5
123304,9,48,35,8
123410,13,37,48,2
123420,10,44,42,4
123510,12,45,36,7
123520,11,44,41,4
123601,11,46,37,6
123602,12,38,44,6
123700,9,41,42,7
123800,15,37,44,4
123901,10,49,39,3
123902,18,45,33,4
124000,18,39,35,8
124102,9,36,50,5
124103,7,49,41,4
124104,7,30,61,2
124105,6,40,52,1
124201,6,55,33,6
124203,10,39,48,2
124204,11,35,52,2
124300,16,40,38,6
124400,7,48,43,3
124500,15,46,35,4
124600,20,44,34,2
124700,13,46,38,3
124902,18,24,50,9
124903,24,25,45,6
125100,16,40,41,3
125200,16,36,46,2
125310,16,26,54,4
125320,10,29,56,4
125401,11,31,58,0
125402,9,32,58,2
125501,11,33,50,6
125502,21,24,51,4
125600,15,44,36,5
127102,17,32,45,5
127103,17,28,51,4
127104,9,35,52,3
127210,10,38,48,4
127220,17,36,39,7
127300,10,37,49,4
127400,7,44,46,3
127520,14,30,53,3
127603,8,41,49,2
127604,19,35,38,8
127605,10,44,43,3
127606,12,36,46,5
127711,11,42,44,2
127712,16,41,39,4
127803,12,42,39,8
127804,14,43,41,2
127805,14,41,42,4
127806,13,33,49,6
127910,11,35,50,4
127920,10,50,38,2
128101,14,39,44,2
128102,11,34,52,3
128210,11,34,51,3
128220,21,34,44,2
128302,8,37,52,4
128303,11,33,51,5
128400,16,43,38,4
128500,17,37,43,4
128601,11,35,50,4
128602,16,39,42,3
128702,21,39,37,3
128801,14,37,43,6
128802,16,33,41,10
128910,15,47,36,2
131010,10,36,48,5
131020,11,44,42,3
131100,15,43,36,6
131200,12,43,40,6
131300,8,44,41,7
131400,14,40,40,6
131600,8,43,44,5
131701,13,43,40,4
131702,16,44,37,3
131800,16,38,41,5
131900,10,49,34,6
132001,17,55,25,3
132002,11,40,39,9
132101,11,40,42,7
132102,17,37,41,4
132300,11,41,43,5
132501,15,36,37,12
132502,13,37,44,5
132700,12,40,42,7
132900,12,48,33,7
133000,12,46,33,9
