Area,Neighborhood
108104,Porter Ranch
216100,Mid-Wilshire
139801,Tarzana
141303,Sherman Oaks
141500,Encino
143603,Studio City
195202,Los Feliz
201302,Montecito Heights
201601,El Sereno
262400,Brentwood
265410,Brentwood
297300,San Pedro
234000,Leimert Park
276601,Westchester
183221,Highland Park
191500,East Hollywood
229200,South Park
135114,Canoga Park
533001,Florence-Firestone
554103,Bellflower
189102,Los Feliz
137301,Woodland Hills
534900,Florence-Firestone
191201,East Hollywood
123800,Valley Glen
206200,Downtown
197700,Chinatown
275101,Del Rey
670701,San Pedro
540202,Lynwood
570003,Lakewood
224410,University Park
190100,Hollywood
115302,Northridge
543321,Carson
133100,Tarzana
190520,East Hollywood
920314,Santa Clarita
103101,Sunland
300100,La Crescenta-Montrose
213320,Pico-Union
141304,Sherman Oaks
212102,Koreatown
407701,La Puente
544001,Carson
535002,Florence-Firestone
269500,Beverlywood
203100,Boyle Heights
401311,San Dimas
141400,Encino
201301,Montecito Heights
236000,Ladera Heights
208302,Westlake
195300,Los Feliz
901209,Ridge Route
532303,Commerce
555104,Lakewood
231500,Vermont Square
108101,Porter Ranch
143200,Studio City
502401,Pico Rivera
553602,Paramount
132700,Reseda
106649,Sylmar
920015,Santa Clarita
554301,Bellflower
297400,San Pedro
209300,Westlake
209401,Westlake
267402,Sawtelle
540000,Lynwood
236400,Baldwin Hills/Crenshaw
503105,South Whittier
408706,Rowland Heights
272202,Mar Vista
204920,Boyle Heights
183220,Highland Park
119340,Panorama City
109700,Granada Hills
800504,Unincorporated Santa Monica Mountains
431501,Temple City
106510,Sylmar
218400,Mid-City
228600,South Park
432102,Temple City
113237,Chatsworth
482303,Rosemead
195600,Echo Park
206010,Elysian Park
408141,South San Jose Hills
403408,Walnut
123204,North Hollywood
237201,Vermont-Slauson
800332,Agoura Hills
482304,Rosemead
124600,Sherman Oaks
208802,Westlake
431200,Mayflower Village
531702,East Los Angeles
122121,Sun Valley
218600,Mid-City
920328,Santa Clarita
554002,Bellflower
238310,Vermont Knolls
191610,East Hollywood
143700,Hollywood Hills
480011,East San Gabriel
127804,Van Nuys
123602,Valley Glen
552302,Norwalk
910813,Agua Dulce
216700,Mid-City
555002,Lakewood
109200,Granada Hills
113301,Northridge
192620,East Hollywood
554201,Bellflower
183620,Highland Park
191620,East Hollywood
212202,Westlake
431800,East San Gabriel
220000,West Adams
228800,Central-Alameda
554700,Norwalk
980023,Chatsworth Reservoir
554406,Bellflower
540501,Lynwood
209103,Westlake
291220,Harbor Gateway
201501,El Sereno
208710,Westlake
910202,Northwest Palmdale
403405,Walnut
106407,Sylmar
910208,Palmdale
143602,Studio City
531701,East Los Angeles
543903,Carson
407200,La Puente
