Area,Opportunity_Youth
101110,11.87801
101122,12.38938
101210,13.333333
101220,15.652174
101300,7.9617834
101400,8.5299454
102103,18.181818
102104,5.5555553
102105,13.851352
102107,4.5340052
103101,16.872429
103102,15.102639
103200,14.067797
103300,11.934156
103400,16.959799
104103,15.497076
104105,9.2530661
104108,13.882353
104124,13.28
104201,15.5
104203,20.284237
104204,19.954649
104310,20.772947
104320,20.666666
104401,16.75485
104403,22.168674
104404,26.420454
104500,21.853148
104610,25.526932
104620,22.657581
104701,24.594595
104703,22.946177
104704,26.16099
104810,11.674347
104821,24.300699
104822,13.778706
106010,9.6412554
106020,8.1720428
106111,10.686016
106112,5.6902003
106113,9.9206352
106114,18.526316
106403,13.458262
106405,18.29574
106406,5.032258
106407,10.638298
106408,20.124224
106510,9.1397848
106520,17.713568
106603,9.6196871
106604,11.856474
106641,7.009346
106642,7.8431373
106643,1.2269939
106645,8.2802544
106646,8.1135902
106648,11.87801
106649,15.942029
107010,26.713533
107020,14.060606
108101,4.390244
108102,5.0403228
108103,7.8703704
108104,14.468085
108201,3.6328871
108202,2.2321429
109100,20.107239
109200,4.961832
109300,9.11271
109400,9.2672415
109500,12.516129
109601,9.7222223
109603,8.5808582
109604,8.695652
109700,9.954751
109800,14.749263
111100,11.680327
111201,11.926605
111202,10.97852
111204,1.9390582
111205,7.2207084
111206,5.0239234
111301,8.6373787
111302,6.3279858
111400,5.4470711
113101,4.217926
113102,11.859838
113211,14.767933
113212,8.238636
113213,4.2682929
113231,16.299559
113232,4.6961327
113233,12.761276
113234,15.641477
113235,16.233767
113237,13.095238
113301,14.723927
113303,10.169492
113321,7.8431373
113322,7.352941
113401,8.1699343
113421,17.923498
113422,19.620253
115101,7.2972975
115103,0
115104,4.4597988
115201,4.8407645
115202,10.052219
115301,5.3598776
115302,14.018692
115401,4.8648648
115403,14.864865
115404,15.128205
117101,22.360249
117102,6.7846608
117201,9.3085108
117202,11.255411
117301,8.6629
117302,9.7759676
117303,33.029613
117404,9.2009687
117405,18.795889
117407,14.827586
117408,25.203253
117510,17.300131
117520,16.036308
117530,12.808642
119001,13.137255
119002,10.844893
119201,12.70627
119202,22.016808
119310,18.092106
119320,15.780731
119340,20.203735
119341,13.141684
119342,21.240601
119400,16.879795
119700,10.546875
119800,10.42735
119900,7.0229006
120010,25.935829
120020,17.669655
120030,27.150537
120103,27.765726
120104,16.778524
120105,17.926565
120106,23.809525
120107,21.80851
120108,15.805471
120300,18.760757
120400,18.155893
121010,10.8
121020,9.2281876
121101,22.299652
121102,11.785714
121210,14.55399
121221,10.606061
121222,15.658748
121600,8.7378645
121801,9.4771242
121802,14.417745
121900,8.3009081
122000,15.011547
122120,9.5926409
122121,8.3769636
122122,8.3743839
122200,10.655738
122410,22.151899
122420,15.16129
123010,13.448735
123020,12.349915
123103,13.94052
123104,16.911764
123203,18.942732
123204,8.6206894
123205,14.634147
123206,11.904762
123301,13.771518
123303,15.913556
123304,17.547171
123410,18.616144
123420,17.271156
123510,20.117474
123520,10.72261
123601,9.2857141
123602,15.619695
123700,11.714771
123800,7.377049
123901,18.838305
123902,15.044248
124000,8.6148653
124102,17.61194
124103,20.945946
124104,20.572916
124105,25.074627
124201,9.3548384
124203,14.663462
124204,12.761905
124300,21.167883
124400,9.5703125
124500,10.616438
124600,15.625
124700,28.690229
124902,7.9881659
124903,24.555161
125100,21.637426
125200,11.020409
125310,10.737527
125320,16.07744
125401,35.785954
125402,20.967741
125501,18.518518
125502,21.105528
125600,3.0864198
127102,14.627995
127103,18.848167
127104,18.518518
127210,17.991171
127220,8.9005232
127300,9.1514139
127400,17.178612
127520,23.541666
127603,10.962566
127604,12.686567
127605,10.91954
127606,12.178388
127711,18.090452
127712,5.8997049
127803,5.9375
127804,20.033388
127805,15.436241
127806,12.08577
127910,15.771526
127920,15.702479
128101,13.783784
128102,15.462185
128210,20.636942
128220,9.4488192
128302,11.973392
128303,17.953669
128400,11.911357
128500,12.406948
128601,11.267606
128602,10.878661
128702,5.4237289
128801,19.808308
128802,6.7415729
128910,17.602041
131010,9.1360474
131020,10.440835
131100,11.382113
131200,8.8471851
131300,12.772586
131400,12.6071
131600,12.178218
131701,4.25
131702,7.8393884
131800,26.010782
131900,7.1428571
132001,8.333333
132002,9.4922733
132101,18.095238
132102,6.2098503
132300,10.210971
132501,9.659091
132502,12.908778
132700,10.042735
132900,4.8611112
133000,12.575758
133100,13.953488
134001,20.805368
134002,18.60465
134101,9.3514328
134103,8.9324617
134104,5.6074767
134201,9.1836739
134302,14.285714
134303,20.879122
134304,15.90106
134305,10.532687
134306,3.8374717
134421,4.4088178
134422,12.790698
134423,15.151515
134424,11.971831
134520,14.514286
134521,21.020409
134522,18.354431
134710,13.287401
134720,17.272728
134800,12.068966
