Area,Below_100_Poverty_Threshold,Below_200_Poverty_Threshold
101110,14.461408,41.603054
101122,2.6796589,7.4908648
101210,24.022442,55.593334
101220,14.231565,37.629223
101300,7.314836,19.376289
101400,11.633,35.75079
102103,6.5405407,8.9729729
102104,6.7958179,17.066422
102105,17.662205,40.06179
102107,14.111729,35.398464
103101,9.57827,25.911366
103102,9.8144331,19.175259
103200,16.445753,42.906235
103300,18.615244,24.992409
103400,12.725345,26.950462
104103,6.6208301,40.463459
104105,26.655231,58.610634
104108,18.707968,59.119625
104124,11.188119,33.539604
104201,23.104771,48.679726
104203,22.400835,63.736954
104204,28.792988,61.126095
104310,21.47385,57.606972
104320,20.484871,55.421913
104401,23.746273,50.772568
104403,31.461061,53.411442
104404,23.654749,56.374142
104500,24.442966,49.318256
104610,28.609625,55.882355
104620,21.303331,53.068382
104701,41.302681,82.809708
104703,32.833847,75.099159
104704,24.622663,61.387699
104810,20.930233,42.953835
104821,19.022902,66.076332
104822,29.843138,61.294117
106010,23.649782,39.382759
106020,9.2963619,42.683121
106111,11.627907,21.345514
106112,16.125727,35.855824
106113,9.170702,29.570217
106114,22.133978,54.575275
106403,5.3389831,47.655369
106405,32.974251,45.901207
106406,7.534122,28.134668
106407,25.465376,62.062546
106408,30.388874,64.125679
106510,10.094044,18.725183
106520,21.327015,38.964115
106603,1.9765288,11.36504
106604,26.267879,46.987431
106641,2.9836829,6.7132869
106642,2.6939971,7.2035141
106643,1.5148327,11.655796
106645,7.5793886,20.82085
106646,5.820106,20.913395
106648,30.914114,59.994976
106649,10.575837,26.194956
107010,19.987043,46.647232
107020,19.35018,36.714802
108101,2.5908902,6.7697449
108102,6.891892,19.216217
108103,1.36075,4.8986998
108104,9.2705164,21.833839
108201,1.7789942,8.0225792
108202,6.9774528,14.183425
109100,4.2276421,37.479675
109200,7.7346039,16.972141
109300,5.5056505,30.36801
109400,13.681738,26.423958
109500,14.95287,45.458439
109601,11.76232,27.276415
109603,8.8491297,29.738878
109604,8.3710403,25.404007
109700,7.6262083,29.98926
109800,12.737233,30.209352
111100,7.3306527,20.630993
111201,9.7663269,20.97064
111202,7.3330903,28.183146
111204,4.6447644,11.555268
111205,5.4636593,25.062656
111206,4.8393912,13.546069
111301,15.32146,34.36908
111302,13.852726,25.142393
111400,13.078007,26.886127
113101,4.2452831,14.281971
113102,6.2020674,15.505168
113211,4.7989626,17.250324
113212,4.4642859,14.34949
113213,13.490504,20.497707
113231,4.7321429,21.607143
113232,6.0503821,17.588844
113233,21.170769,58.602219
113234,25.492317,43.497078
113235,16.289856,33.913044
113237,7.5132022,19.707153
113301,3.065134,20.349085
113303,4.6381741,18.795532
113321,14.820788,39.928314
113322,5.9337273,18.237864
113401,8.6241188,23.757006
113421,25.427164,48.783665
113422,12.165995,35.020153
115101,2.4908283,6.7001352
115103,65.730339,74.157303
115104,28.778662,38.277958
115201,23.239012,40.999397
115202,13.153272,32.674572
115301,13.141026,27.071007
115302,26.024916,57.667046
115401,17.70903,36.638798
115403,24.842587,54.464798
115404,32.293831,45.010395
117101,10.127048,32.885288
117102,10.516673,46.317333
117201,34.686184,54.890221
117202,3.3388293,23.742786
117301,6.4158721,13.913939
117302,8.8299351,29.439714
117303,6.0016222,36.523384
117404,13.814531,30.258125
117405,41.717628,78.915184
117407,42.679047,86.1008
117408,48.352345,76.013939
117510,41.080528,70.38736
117520,34.262543,75.924988
117530,35.363949,66.635429
119001,9.134737,21.492006
119002,15.924388,40.885006
119201,9.2494316,41.849888
119202,17.064846,56.450512
119310,22.363785,50.257523
119320,39.388935,58.298927
119340,40.834896,77.495316
119341,22.082132,58.825649
119342,33.140545,62.926548
119400,11.549088,39.767914
119700,10.782866,24.815361
119800,7.4102845,34.907566
119900,6.5456653,32.53524
120010,19.827896,54.714951
120020,20.983263,69.707115
120030,46.478313,79.228012
120103,51.805386,90.085678
120104,44.240837,73.335823
120105,28.191856,73.291924
120106,36.258205,70.962799
120107,42.665981,80.777145
120108,36.495441,71.789558
120300,14.329104,42.737179
120400,25.957144,54.614285
121010,23.563969,50.195824
121020,16.087309,38.507141
121101,27.397261,49.697357
121102,13.790447,44.183357
121210,19.14267,41.982983
121221,9.2013893,39.713543
121222,27.72994,70.802345
121600,6.5666041,20.187616
121801,27.31105,61.788616
121802,25.293949,56.724979
121900,17.478714,41.130558
122000,12.300424,39.149559
122120,15.033501,48.345898
122121,20.725574,48.096264
122122,23.728813,55.394791
122200,9.8203592,47.712574
122410,34.100025,73.763039
122420,26.912304,57.379875
123010,32.984413,62.968132
123020,21.070518,43.840271
123103,16.749468,62.550274
123104,19.432724,44.116268
123203,32.417732,67.582268
123204,29.427711,60.512047
123205,24.649963,51.142227
123206,32.415474,64.586967
123301,15.801204,34.900826
123303,23.451464,55.161789
123304,31.294483,58.429714
123410,28.829498,62.286564
123420,27.115118,55.409153
123510,23.64562,49.429737
123520,24.478331,52.407703
123601,11.859528,31.510267
123602,18.912134,50.683403
123700,12.872884,30.42193
123800,18.235399,37.667442
123901,18.719667,44.488098
123902,13.186004,25.488029
124000,6.1849599,16.807383
124102,20.911528,46.487934
124103,33.408989,64.185204
124104,28.272827,57.499084
124105,35.449146,59.020046
124201,12.227215,25.962772
124203,27.738581,52.989231
124204,33.776768,59.798832
124300,12.735595,37.318256
124400,20.34384,29.823305
124500,6.7791314,25.460794
124600,5.0074515,24.172876
124700,7.2053733,20.842663
124902,20.56357,39.147938
124903,26.164154,39.262981
125100,9.8058414,33.953335
125200,17.065475,32.947674
125310,27.214272,48.330223
125320,29.747292,51.35379
125401,15.841584,30.25013
125402,11.191067,24.71464
125501,13.132236,32.358318
125502,27.067457,46.232006
125600,7.4276123,23.080151
127102,20.201433,51.578541
127103,36.284775,62.728088
127104,25.850515,54.252579
127210,20.12888,47.312191
127220,33.333332,66.794624
127300,20.401262,45.130749
127400,32.072968,70.16584
127520,35.609879,72.253021
127603,28.438847,60.490555
127604,30.158159,63.874908
127605,17.517714,62.252628
127606,21.132273,47.691105
127711,18.83864,35.857639
127712,28.130419,57.370796
127803,23.555666,57.525414
127804,19.194599,49.963829
127805,28.9534,61.34454
127806,24.594257,65.199753
127910,28.695652,60.988144
127920,22.799496,42.57251
128101,17.094534,39.957718
128102,35.277718,55.221962
128210,40.317226,72.703796
128220,20.700417,47.156727
128302,33.217995,71.568626
128303,45.371464,81.22052
128400,7.292419,27.292419
128500,11.321606,26.635092
128601,31.395607,51.053917
128602,7.1842785,18.878866
128702,7.1440988,15.730923
128801,11.533816,24.667875
128802,4.8137298,23.712851
128910,7.2309971,18.805529
131010,25.297571,53.816853
