Area,American_Indian_Or_Native,Asian,Black,Hispanic,Other_Race,Two_or_More_Races,White
101110,0,7.5663352,1.2852404,33.706467,0,1.7620232,55.679935
101122,0.303859,9.480401,0.45578852,12.397448,0.42540261,1.7016104,75.235489
101210,0,1.4790888,3.349201,48.775925,0,4.6922817,41.703503
101220,0,14.024811,2.0675397,25.913164,0.51688492,3.5837355,53.893867
101300,0,8.9342403,0.88435376,10.385488,0,0.9297052,78.866211
101400,0.41372597,5.9625211,0.85178876,24.312485,1.7279143,4.6970067,62.034557
102103,0,3.4594595,0,21.081081,0,0.5945946,74.864868
102104,0,14.306233,1.6949153,13.932778,0.14363688,0.63200229,69.290436
102105,0.25746652,5.3038106,2.7291453,66.83831,0.61791968,1.8022658,22.451082
102107,0.6103764,16.505594,1.3987793,25.686674,0,0.76297051,55.035606
103101,0.50035739,8.7205143,0.32165831,26.983561,0,0.50035739,62.973553
103102,0.18499486,15.292909,0.69886947,25.056526,0.4110997,1.9527235,56.402878
103200,0,8.8426733,4.064137,39.879345,0.46039054,0.68264806,46.070805
103300,0,3.9781353,0.27330703,15.153356,1.153963,3.4315214,76.00972
103400,3.40943218,7.7801142,4.3406429,21.778313,0,3.0039051,59.687595
104103,0.39810898,8.8579245,12.515552,71.933319,0.14929087,0.77133614,5.3744712
104105,0,6.7306046,5.4975166,80.133583,0,0.15413599,7.484158
104108,0,4.6166363,12.161887,78.543831,0,0.34573928,4.3319097
104124,0.7202602,4.3680296,8.4804831,53.438663,0.27881041,2.6951673,30.018587
104201,0,0,12.728018,87.12851,0,0,0.14347202
104203,0,5.1574149,4.8467274,88.276718,1.0770506,0.16570008,0.47638774
104204,0.26690391,5.5160141,6.3167262,73.991699,0,2.3428233,11.565836
104310,0.32958511,0,5.0407133,93.175652,0,0.50407135,0.94998062
104320,0,1.6914114,4.4728436,89.889122,0,1.0524337,2.8941929
104401,0,0,0,98.624596,0,0,1.3754045
104403,0,0.85645771,0.3768414,94.655701,0,0,4.1109967
104404,0,0.79451066,5.7060308,90.249184,0,1.9862766,1.2639942
104500,0,0.196915,0,98.982605,0,0,0.82047915
104610,0,0,0,98.64106,0,0.14771049,1.211226
104620,0,0.55523086,0,98.421974,0,0,1.0227937
104701,0,0,5.2873564,93.58876,0,0.91954023,0.20434228
104703,0.74922872,0,2.9087703,93.873955,0,0,2.4680476
104704,0,5.4291506,10.723136,78.553726,0,0.36044154,4.9335437
104810,0,1.3625388,0.20696792,94.843048,0,0,3.5874438
104821,0,3.0459945,3.4724338,87.572342,0.63965887,0.12183978,5.1477308
104822,0,8.0870914,1.6718507,87.402802,0,0.5443235,2.2939346
106010,0.63523906,6.0514879,2.2734871,69.541962,0.46807086,3.9451687,17.084587
106020,0.66889632,2.7552159,1.0670489,81.860168,0,0.35037425,13.298296
106111,2.4294019,5.6478405,1.6403655,65.033226,0,3.2599669,21.989202
106112,0,9.9350977,0.81544352,71.29306,0.53253454,1.4478283,15.976036
106113,0,8.9146166,2.2865412,74.529671,0.11577424,0,14.1534
106114,0,3.4255822,5.7711778,84.542694,0,0.10124873,6.1592979
106403,0.056290459,2.8708134,0.056290459,88.657471,0,0.39403322,7.9650998
106405,0.39215687,2.640523,4.7843137,76.470589,0,0,15.712419
106406,2.2747953,8.9353962,2.5841675,65.404915,0.16378526,0.61874431,20.018198
106407,0,4.6350741,9.8235903,64.856453,0,0.48426151,20.200623
106408,0.20470829,4.7082906,2.0470829,90.32753,0,0,2.7123849
106510,0,5.7270432,4.4263248,69.403999,0,1.6889924,18.753639
106520,0,0.37237644,0.40622884,86.882195,0,0.91401488,11.425186
106603,0,19.103193,3.409091,16.492628,0,6.0503688,54.944717
106604,0.927123777,4.3984475,0,83.742996,0,0,10.931436
106641,0,20.18648,0.27972028,10.769231,0.37296036,5.4545455,62.937061
106642,0,8.6791353,2.7177088,24.605494,0,11.630626,52.367039
106643,1.3675573,17.231222,6.6273932,10.014728,0,9.1521149,55.606983
106645,0,10.095866,1.9472739,10.065907,0,3.5650089,74.325943
106646,0,17.538628,2.981838,32.149635,0,0.3252914,47.004608
106648,1.8027041,0.47571358,0,95.217827,0,0.12518778,2.3785679
106649,0.30109146,23.447496,1.0538201,59.992474,0.48927361,1.919458,12.796387
107010,0.28883183,2.0539153,0,93.421051,0,0.16046213,4.075738
107020,0,7.0282936,0.63074428,87.565331,0.48657414,0.16219139,4.1268697
108101,0,21.604681,1.8804847,14.584204,0,1.0865023,60.844128
108102,0.18888289,27.441986,3.103076,11.063141,1.4570966,3.3998921,53.345924
108103,0,25.854248,0.39310554,10.886,0,1.6631387,61.203506
108104,0,25.531916,1.266464,7.497467,0,1.7223911,63.981762
108201,0.20526856,44.25248,6.2264795,6.7738624,0.22237428,4.6869655,37.632568
108202,2.2242534,42.245583,2.6203535,12.248629,0.60938454,2.833638,37.218159
109100,0,13.663891,0,60.181679,0,0.26495078,25.889477
109200,2.6759531,17.192081,0.69648093,35.190617,0,3.2258065,41.019062
109300,0,13.504916,8.3863506,46.529785,0,2.9207635,28.658184
109400,0.55685812,1.0550996,3.5756154,77.696365,0,3.1946073,13.921453
109500,0,1.9842117,1.365479,91.188393,0,0.7254107,4.736505
109601,0.34170854,10.552764,2.5527637,70.39196,1.7688442,0.40201005,13.98995
109603,0,11.07633,1.3002648,65.254036,0,0.62605345,21.743319
109604,0.77569491,9.5022621,1.4221073,68.228828,0,0.80801553,19.26309
109700,0.5946061,17.816946,4.3533659,46.846466,0,0.84943724,29.539181
109800,0.11625654,9.6105404,2.1507459,58.050766,1.9569851,1.7050959,26.409611
111100,0,14.877823,5.9696875,38.137951,0,1.2063099,39.808228
111201,0,13.463242,1.0628875,32.181873,0,2.9524653,50.339535
111202,0,18.087578,2.6630921,29.204647,0,3.3958893,46.648792
111204,0,21.508335,3.6737337,15.39084,0.17802234,2.1039002,57.145168
111205,1.8546365,29.699247,14.586466,24.235588,0,1.2030075,28.421053
111206,1.01116494,22.203497,1.0532968,21.761112,0,3.2862861,50.684643
111301,0,18.166939,7.9692812,36.774517,0.54135716,2.3920434,34.155861
111302,0.46966732,19.647749,5.3228965,22.563601,0,1.7221135,50.273972
111400,0,17.946749,6.0163851,35.522274,0,5.8243728,34.69022
113101,0.28608581,17.009102,1.2223667,16.671001,0,1.3784136,63.433029
113102,0.39787799,13.229443,1.657825,14.124668,0,5.3713527,65.218834
113211,0.28161803,20.148489,2.764977,14.388121,0,2.5857656,59.831028
113212,0,22.21546,3.5301278,23.341448,0.24345709,1.5520389,49.11747
113213,0,14.806958,3.1607976,30.398811,3.7759864,2.9274502,44.929996
113231,0,16.5625,5.4464288,14.107142,0,2.0535715,61.830357
113232,0.6361044,16.297434,0.94318932,18.337355,0,7.084887,56.701031
113233,0.48463207,11.031756,1.3008544,67.172554,0,0.54839945,19.461803
113234,0.69249082,18.091322,5.9943733,48.539276,1.1036572,0.64921016,24.929668
113235,1.9710145,5.7971015,5.0434785,23.47826,0,1.2753624,62.434784
113237,0,17.018723,4.1286607,25.420067,0.72011524,4.0566492,48.655785
113301,0.127064802,13.172384,3.8542991,22.490471,0.55061412,1.5671326,58.238033
113303,0,17.522587,2.211127,30.765574,0,3.6614361,45.839275
113321,0.42712227,23.420538,7.2788754,31.268909,0,5.3924184,32.212139
113322,0,18.597561,1.9054878,18.800814,1.2703252,1.9308943,57.494919
113401,0,14.831341,3.5695164,44.27985,0,2.1595573,35.159737
113421,0.27512309,11.699971,4.6626124,58.746017,0,2.1865046,22.429771
113422,0.32840723,21.659948,3.851321,47.828033,0,3.2691445,23.063145
115101,0.11585248,11.565939,4.8658042,19.521143,0,5.638154,58.293106
115103,0.61601645,18.421825,12.848343,32.531532,0.14667058,3.3734233,32.062187
115104,0,21.207216,15.286772,30.411655,0,3.2608695,29.833488
115201,0,14.987273,5.6894746,31.75625,0,4.7462196,42.820782
115202,0,18.114035,6.5789475,28.399122,0,1.7105263,45.197369
115301,0.024319066,19.2607,5.496109,21.814203,0,1.9941634,51.410507
115302,0,7.5198188,5.7531142,73.771233,0,1.3137033,11.642129
115401,0,8.0895872,7.1034598,43.606888,0.83570117,3.0252383,37.339127
115403,0,11.285714,6.7714286,56.200001,0,3.3714285,22.371429
115404,0.86177182,13.374699,6.1702862,52.119957,0.34470871,2.4474318,24.681145
117101,0,37.86657,2.7492669,49.138561,0,3.1158357,7.1297655
117102,0,11.468885,0.57887119,61.251808,0,1.2662808,25.434153
117201,0.21482277,12.717508,2.0408163,67.3899,0,0.27926961,17.357679
117202,0,29.339853,3.99348,36.430317,0,2.0782397,28.15811
117301,0,16.052565,6.3643389,31.795929,0.46379799,2.5766554,42.746716
117302,0.2173913,18.418972,4.6837945,23.695652,2.8458498,1.7786561,48.359684
117303,0,13.103262,5.5810189,45.969265,0,0.72795904,34.618496
117404,0,11.222301,3.0497975,48.86824,0,2.9544914,33.90517
117405,0,2.4358304,0.28810894,92.875854,0,0.65479308,3.7454164
117407,0.31788081,2.5695364,0.7682119,94.728477,0,0,1.6158941
117408,0,2.851711,10.107731,82.19265,0,0,4.847909
117510,0,3.0648429,2.2796352,89.108406,0,1.6464032,3.9007092
117520,0,4.8153691,4.7904191,86.701599,0,0.3992016,3.2934132
117530,0.96648479,12.330476,2.5253313,78.207329,0.18706158,1.1535463,4.6297741
119001,0,16.721643,0.050748542,69.67775,0,3.0702868,10.479573
119002,0.65359479,7.8573461,0.72463769,83.06337,0,0.55413473,7.1469169
119201,0,6.4548664,0.050428644,88.073624,0.30257186,0,5.1185074
119202,0.18120046,8.1540203,2.3556058,80.634201,0,0.70215178,7.9728198
119310,0.28372452,13.154501,2.4245551,69.074028,0,0,15.063193
119320,0,17.774567,4.5004129,73.472336,0,0.80511975,3.4475639
119340,0,1.8602179,0.42519265,96.199844,0,0.58463991,0.93010896
119341,0,27.791742,1.5439856,57.055656,0,3.4829443,10.125673
119342,0,13.938693,1.6483517,82.62001,0,0,1.792944
119400,0,7.892818,0.25519505,85.36274,0,0.60153115,5.8877144
119700,0,27.482195,1.2777545,45.517387,0.14662756,1.4662757,24.10976
119800,0.3241241,11.020219,0.41673097,80.598854,0,1.1575861,6.482482
119900,0.23032629,17.581573,0.19193858,70.249519,0.23032629,1.1516315,10.364683
120010,0,11.832198,2.9042668,72.929367,0,0,12.33417
120020,0,18.622978,0.60141021,77.270844,0,0,3.5047698
120030,0,5.3946848,4.6806822,87.941292,0,0,1.9833399
120103,0.18359853,0.64259487,2.8763771,94.951042,0,0,1.3463892
120104,0.59612519,15.797318,5.2533531,70.193741,0,0.96870345,7.1907601
120105,0,20.467033,1.4423077,70.467033,0,0.61813188,7.0054946
120106,0,12.86475,2.1086261,82.087326,0,0.74547392,2.1938231
120107,0,4.2202778,4.9665465,87.931038,0,0.38600102,2.49614
120108,0.69629323,5.8775344,2.3551095,84.783943,0.16383371,0.18431292,5.938972
120300,0.9112024,17.40218,0.41093442,59.978561,0,2.6442738,18.652849
120400,0,22.176329,2.3500926,58.980202,0.099700898,1.4955134,14.898163
121010,0,14.762516,0.59905863,57.830551,0,0.85579801,25.952076
121020,0,12.192513,0.82887703,57.754009,1.3636364,0.34759358,27.513369
121101,0.41243654,11.675127,2.0304568,61.040607,0.98350257,0.76142132,23.096447
121102,0,5.3297548,0,58.588959,0.2684049,0.19171779,35.621166
121210,0,13.839425,2.3430178,71.290222,0,2.3117776,10.215558
121221,0,4.3402777,1.0416666,84.93924,0,0.2170139,9.4618053
121222,0,4.5551462,3.4890482,86.993607,0.21321961,0,4.7489824
121600,0,21.348734,4.2846498,33.383011,0,1.2295082,39.754097
121801,0,10.418549,5.5404997,65.853661,0.51189399,0.45167118,17.223728
121802,0.200745636,9.8652134,5.4201317,59.478062,0,1.5486091,23.487238
121900,0,4.6478872,2.5117371,78.075119,0,0.11737089,14.647887
122000,2.1844661,7.2977347,2.2330098,45.857605,0,0.64724916,41.779934
122120,0.1462905,3.7617555,1.0449321,84.6604,0,0.37617555,10.010449
122121,0.5387931,9.8419542,1.9396552,79.022987,0,0.93390805,7.7227011
122122,0,0,2.3976851,85.985947,0,0,11.61637
122200,0.14371258,6.3233533,0.21556886,81.724548,0,3.2335329,8.3592815
122410,0,3.1404102,3.6335323,79.159096,0,1.3755515,12.691409
122420,0,4.7188106,2.0038786,81.771172,0,0.32320622,11.182935
123010,0,0.99192619,2.8143022,84.01384,0,1.9146482,10.265283
123020,0,7.6295047,0.59121621,84.318695,0,0.56306309,6.8975224
123103,0.73338068,7.6413531,4.0690799,59.900639,0.4021765,2.4603739,24.792997
123104,0.16151361,6.8758655,1.7535764,73.373329,0.92293495,0.64605445,16.266727
123203,0,0.59475535,7.9751287,77.264122,0.18924034,0.21627466,13.760476
123204,0,4.7223048,2.3166022,74.636177,0,0.77220076,17.552717
