Area,Median_Rent_Price
101110,1336
101122,2130
101210,1120
101220,1087
101300,1936
101400,1117
102103,2217
102104,2240
102105,1339
102107,1125
103101,1303
103102,1529
103200,941
103300,2106
103400,1378
104103,1644
104105,672
104108,1311
104124,1383
104201,1944
104203,1308
104204,1000
104310,1571
104320,863
104401,1603
104403,1371
104404,1294
104500,1194
104610,1328
104620,1236
104701,818
104703,1322
104704,1365
104810,1509
104821,1333
104822,1341
106010,1622
106020,1480
106111,2034
106112,1819
106113,1250
106114,1110
106403,1917
106405,1168
106406,1701
106407,1261
106408,1181
106510,1603
106520,1539
106603,2842
106604,1256
106641,3182
106642,3017
106643,1904
106645,2316
106646,2370
106648,946
106649,1533
107010,1478
107020,1692
108101,3467
108102,2533
108103,2375
108104,3267
108201,2890
108202,1717
109100,1375
109200,1939
109300,2451
109400,1785
109500,1440
109601,1880
109603,1070
109604,1260
109700,1975
109800,1805
111100,2017
111202,1567
111204,3426
111205,2088
111206,1216
111301,1468
111302,1446
111400,1150
113101,1972
113102,3125
113211,2280
113212,1492
113213,1339
113231,1529
113232,2733
113233,1143
113234,1090
113235,1605
113237,1570
113301,2067
113321,1291
113322,2030
113401,1136
113421,1388
113422,1148
115101,1930
115103,1750
115104,1337
115201,1380
115202,1186
115301,1839
115302,1209
115401,1208
115403,1123
115404,1477
117101,1099
117102,1580
117201,1087
117202,2669
117301,2325
117302,1746
117303,2121
117404,1589
117405,1114
117407,1102
117408,940
117510,1220
117520,1093
117530,1084
119001,2006
119002,1510
119201,871
119202,1269
119310,851
119320,1423
119340,1033
119341,1118
119342,1435
119400,2013
119700,1592
119800,1707
119900,1654
120010,1367
120020,979
120030,971
120103,1084
120104,1117
120105,885
120106,966
120107,1007
120108,1017
120300,984
120400,1095
121010,1341
121020,1230
121101,1041
121102,1137
121210,900
121221,1613
121222,1164
121600,1693
121801,1146
121802,1650
121900,985
122000,1724
122120,1213
122121,965
122122,1112
122200,1336
122410,949
122420,1037
123010,1170
123020,1218
123103,1122
123104,1088
123203,966
123204,1104
123205,1123
123206,1078
123301,1216
123303,1169
123304,1051
123410,1058
123420,1155
123510,1036
123520,1145
