Area,Total_Population
101110,4824
101122,3291
101210,5882
101220,2902
101300,4410
101400,4109
102103,1850
102104,3481
102105,1942
102107,3932
103101,2798
103102,4865
103200,6299
103300,3293
103400,6658
104103,4019
104105,5839
104108,4917
104124,4304
104201,4879
104203,4828
104204,3372
104310,5158
104320,5321
104401,3708
104403,2919
104404,2769
104500,3047
104610,3385
104620,3422
104701,3915
104703,2269
104704,4439
104810,5798
104821,3283
104822,2572
106010,2991
106020,6279
106111,4816
106112,6009
106113,3455
106114,5926
106403,3553
106405,3825
106406,5495
106407,2891
106408,3908
106510,5151
106520,5908
106603,3256
106604,4638
106641,2145
106642,3422
106643,4753
106645,3338
106646,3689
106648,3994
106649,2657
107010,3116
107020,5549
108101,2393
108102,3706
108103,3307
108104,1974
108201,5846
108202,6564
109100,2642
109200,2728
109300,3458
109400,3412
109500,4687
109601,4975
109603,4153
109604,3094
109700,4709
109800,5161
111100,3233
111201,3387
111202,5595
111204,6179
111205,3990
111206,4747
111301,7943
111302,5110
111400,7812
113101,3845
113102,3016
113211,3906
113212,3286
113213,4714
113231,2240
113232,4559
113233,7841
113234,4621
113235,1725
113237,4166
113301,2361
113303,4206
113321,5619
113322,3936
113401,5603
113421,6906
113422,6699
115101,5179
115103,3409
115104,4324
115201,6679
115202,4560
115301,4112
115302,4415
115401,5983
115403,3500
115404,2901
117101,5456
117102,2764
117201,4655
117202,2454
117301,3881
117302,5060
117303,3709
117404,4197
117405,3818
117407,3775
117408,3156
117510,3948
117520,4008
117530,6415
119001,3941
119002,7038
119201,3966
119202,4415
119310,3877
119320,4844
119340,3763
119341,2785
119342,3458
119400,5486
119700,4774
119800,6479
119900,5210
120010,2789
120020,4822
120030,2521
120103,3268
120104,2684
120105,2912
120106,4695
120107,3886
120108,4883
120300,5597
120400,7021
121010,4674
121020,3740
121101,3152
121102,2608
121210,3201
121221,2304
121222,5159
121600,2684
121801,3321
121802,3487
121900,4260
122000,6180
122120,4785
122121,2784
122122,2419
122200,4175
122410,3853
122420,4641
123010,4335
123020,3552
123103,4227
123104,4334
123203,3699
123204,3367
123205,2714
123206,2876
123301,4499
123303,3266
123304,4496
123410,4125
123420,4326
123510,5003
123520,2500
123601,5312
123602,3585
123700,3721
123800,5599
123901,4327
123902,2721
124000,5093
124102,3744
124103,2203
124104,2727
124105,2694
124201,3116
124203,2693
124204,3097
124300,3764
124400,4270
124500,3201
124600,3355
124700,5018
124902,2993
124903,3211
125100,6129
125200,3803
125310,4867
125320,5540
125401,3838
125402,4030
125501,3282
125502,3543
125600,2383
127102,5169
127103,3343
127104,3880
127210,5903
127220,4704
127300,4582
127400,6087
127520,3968
127603,3022
127604,2782
127605,4120
127606,3833
127711,3737
127712,2883
127803,4033
127804,4154
127805,4224
127806,3223
127910,5128
127920,4013
128101,3311
128102,4663
128210,5455
128220,2884
128302,5202
128303,3434
128400,4181
128500,4444
128601,4570
128602,3104
128702,5869
128801,3312
128802,4778
128910,4091
131010,6308
131020,5625
131100,3438
131200,3088
131300,4933
131400,6257
131600,5327
131701,4474
131702,3658
131800,5750
131900,4706
132001,3304
132002,3416
132101,4439
132102,5376
132300,7390
132501,4071
132502,3965
132700,5509
132900,3927
133000,4609
133100,5806
134001,3941
134002,4160
134101,5875
134103,4460
134104,4145
134201,4161
134302,3854
134303,6053
134304,3013
134305,4577
134306,3666
134421,3690
134422,4993
134423,3378
134424,2725
134520,5440
134521,3060
134522,3847
134710,5979
134720,4859
134800,6408
134901,3380
134903,5842
134904,4682
134905,3473
135102,4151
135111,3098
135113,3031
135114,4723
135201,2783
135202,4564
135203,7317
137000,4797
137103,4775
137104,2872
137201,5842
137301,2276
137302,4520
137401,4387
137402,5709
137501,4062
137502,4117
137504,2027
138000,4736
139001,4910
139200,5596
139301,4902
139302,4666
139303,4425
139401,3064
139402,2874
139502,3036
139503,5812
139504,3531
139600,4636
139701,4972
139702,6063
139703,2774
139801,3432
139802,3894
141101,4787
141102,2997
141201,4184
141202,2860
141302,5737
141303,3168
141304,3257
141400,4533
141500,2987
141600,4158
141700,3103
143100,4376
143200,3936
143300,6848
143400,6424
143500,4708
143602,4729
143603,2247
143604,3422
143700,3626
143800,5511
143901,4162
143902,3003
181000,6163
181300,3925
181400,4619
181500,3882
181600,4632
183101,3673
183103,4428
183104,2404
183220,4465
183221,3162
183222,3460
183300,3365
183401,2430
183402,3056
183510,2521
183520,3814
183610,3510
183620,3325
183701,3818
183702,3252
183810,4209
183820,4000
185100,6452
185202,4086
185203,3244
185204,1893
185310,3209
185320,2806
186100,4632
186201,3293
186202,2031
186203,2948
186301,3103
186302,4779
186401,3618
186403,2998
186404,2615
187101,2896
187102,3364
187200,2783
187300,3152
188100,3761
188201,3490
188202,2311
188300,3608
189101,2516
189102,3196
189201,3285
189202,2571
189300,2943
189400,3513
189500,4006
189600,3565
189701,3830
189702,1905
189800,3980
189902,5218
189903,2147
189904,2518
189905,2410
190100,4801
190201,2636
190202,3038
190301,5122
190401,3408
190402,2349
190510,5068
190520,3971
190700,3330
190801,2448
190802,2700
190901,4468
190902,4334
191000,3784
191110,3451
191120,4581
191201,4724
191203,2753
191204,2068
191301,2505
191302,2405
191410,5077
191420,3793
191500,5683
191610,4374
191620,3034
191710,2932
191720,3879
191810,3501
191820,2719
191901,3522
191902,3014
192001,2470
192002,2607
192300,2809
192410,3947
192420,4258
192510,3666
192520,4964
192610,4793
192620,3648
192700,3719
194101,3148
194102,3797
194200,3647
194300,3732
194401,2464
194402,3296
194500,1956
195100,4942
195201,3015
195202,3448
195300,3800
195400,4427
195500,4922
195600,3334
195710,4784
195720,2223
195802,2747
195803,2983
195804,2442
195901,2307
195902,2017
195903,2316
197200,3875
197300,3914
197410,4286
197420,3457
197500,3930
197600,2427
197700,5167
199000,5538
199110,2500
199120,4484
199201,4121
199202,3045
199300,3556
199400,4513
199700,3297
199800,4995
199900,2719
201110,2657
201120,4176
201200,2660
201301,3307
201302,3652
201401,5127
201402,4693
201501,5406
201503,3285
201504,2044
201601,2240
201602,2905
201700,5866
203100,4689
203200,4876
203300,2095
203500,3136
203600,4854
203710,3458
203720,4139
203800,5053
203900,3097
204110,3131
204120,2745
204200,3382
204300,4812
204410,2077
204420,2909
204600,4633
204700,4795
204810,4796
204820,2446
204910,3021
204920,2570
205110,3826
205120,3288
206010,3157
206020,7579
206031,3124
206032,5133
206050,2278
206200,3294
206300,5514
207101,3137
207102,2239
207103,2253
207301,4686
207302,4243
207400,991
207501,2128
207502,2504
207710,3197
207900,4627
208000,7197
208301,2213
208302,4417
208401,4403
208402,2850
208501,2529
208502,3589
208610,4261
208620,4530
208710,4334
208720,4574
208801,3252
208802,3059
208902,2572
208903,3883
208904,3632
209102,4787
209103,3610
209104,2431
209200,3276
209300,4276
209401,4108
209402,3695
209403,3589
209510,2680
209520,2559
209810,2773
209820,3020
210010,3570
211000,4676
211120,5174
211121,2330
211122,3127
211201,3013
211202,2607
211310,4296
211320,3305
211410,2716
211420,3356
211500,4694
211701,3008
211703,4989
211704,2931
211802,4213
211803,3795
