Area,No_Vehicle_Households
101110,4.8024316
101122,0
101210,9.090909
101220,13.230241
101300,4.1042347
101400,6.3417892
102103,2.2058823
102104,4.0958271
102105,1.0398613
102107,7.2337041
103101,2.5054467
103102,4.6913581
103200,4.6939716
103300,0
103400,4.8770323
104103,0.37974682
104105,6.6797643
104108,12.150221
104124,2.3387096
104201,3.5674469
104203,9.6711798
104204,8.238636
104310,8.0419579
104320,15.378007
104401,7.2340426
104403,10.126582
104404,4.9751244
104500,5.8536587
104610,3.2258065
104620,3.8834951
104701,22.334455
104703,4.7945204
104704,1.2567325
104810,0.57471263
104821,4.5691905
104822,10.09772
106010,2.6002166
106020,3.0812325
106111,1.5452539
106112,1.591512
106113,2.2727273
106114,8.3224115
106403,3.6649215
106405,4.8847928
106406,2.1140294
106407,21.428572
106408,6.147541
106510,2.4214659
106520,2.9542098
106603,1.9427403
106604,6.0922542
106641,0
106642,1.9784173
106643,0.82335329
106645,2.6200874
106646,1.1282052
106648,6.7472305
106649,3.526093
107010,4.7233467
107020,0.4954583
108101,3.3877039
108102,1.0761589
108103,2.0972354
108104,0.84033614
108201,0.51519835
108202,4.8500881
109100,7.7032809
109200,2.0607376
109300,5.5370984
109400,7.7375121
109500,7.5787401
109601,6.3004847
109603,2.6835043
109604,5.5679288
109700,0.70754719
109800,1.3022618
111100,1.9771072
111201,5.5401664
111202,5.1295896
111204,0.7723996
111205,0.7581501
111206,4.4786096
111301,6.7894545
111302,13.949672
111400,8.1440058
113101,1.4925373
113102,3.946002
113211,0.95238096
113212,1.4981273
113213,0.96096098
113231,2.1556885
113232,1.4840989
113233,10.379325
113234,8.3621283
113235,5.6195965
113237,3.9835165
113301,5.109489
113303,2.7859237
113321,9.4072161
113322,0
113401,5.274972
113421,6.568974
113422,9.0994368
115101,1.459854
115103,0
115104,12.859468
115201,10.983075
115202,7.2774868
115301,4.732254
115302,5.9523811
115401,5.9270515
115403,7.8373017
115404,3.8461537
117101,4.1512232
117102,2.3285899
117201,16.477768
117202,1.7366136
117301,1.8488746
117302,3.321471
117303,2.8436019
117404,6.8058777
117405,9.8360653
117407,14.285714
117408,20.305164
117510,18.907562
117520,17.901234
117530,15.355086
119001,1.8027571
119002,4.573935
119201,6.752037
119202,4.9595141
119310,12.024756
119320,7.9406633
119340,22.470713
119341,7.9634466
119342,10.993378
119400,0.82872927
119700,1.350278
119800,6.9015098
119900,3.79107
120010,10.751104
120020,12.331233
120030,26.156069
120103,22.263681
120104,28.100264
120105,15.753425
120106,19.080069
120107,22.546162
120108,12.636505
120300,4.3631244
120400,13.734116
121010,0.310559
121020,5.1671734
121101,4.5356374
121102,7.6716018
121210,13.659794
121221,1.7681729
121222,9.0834017
121600,0.49751243
121801,11.101001
121802,4.7026281
121900,4.6554933
122000,3.7859008
122120,6.227437
122121,11.002786
122122,15.514334
122200,11.098779
122410,10.449219
122420,13.880814
123010,6.9990411
123020,8.875
123103,7.3431244
123104,14.412699
123203,11.878453
123204,14.44976
123205,12.121212
123206,15.967366
123301,6.3385029
123303,12.407211
123304,19.320215
123410,13.827161
123420,10.429448
123510,13.863338
123520,7.635468
123601,11.140444
123602,11.144578
123700,9.0529251
123800,6.570581
123901,10.746064
123902,5.6621003
124000,5.3365383
124102,11.119134
124103,9.9173555
124104,16.585365
124105,7.6581578
124201,8.2882881
124203,20.047449
124204,10.207939
124300,12.762646
124400,7.80762
124500,4.6550293
124600,2.4442847
124700,1.9925858
124902,17.366043
124903,13.888889
125100,2.919708
125200,8.5642319
125310,13.010967
125320,13.899184
125401,6.9193478
125402,5.9210525
125501,6.0225849
125502,3.4698522
125600,5.1546392
127102,13.981359
127103,18.555759
127104,10.543657
127210,10
127220,17.588236
127300,10.846246
127400,7.5233388
127520,19.288538
127603,6.8571429
127604,20.05254
127605,7.6555023
127606,14.460999
127711,8.5049238
127712,17.039587
127803,22.077923
127804,9.6668844
127805,10.73593
127806,18.52459
127910,17.027216
127920,8.0564785
128101,8.6746988
128102,22.214436
128210,19.681908
128220,9.7184381
128302,24.031008
128303,26.82243
128400,7.0017953
128500,8.0516901
128601,6.1925201
128602,8.3773584
128702,0.47341588
128801,11.07438
128802,14.574713
128910,6.0112362
131010,11.003071
131020,7.858048
131100,0.38387716
131200,6.9642859
131300,1.4190317
131400,6.4021163
131600,1.7170329
131701,9.2316856
131702,7.4866309
131800,11.363636
131900,2.8797696
132001,3.0381944
132002,5.381166
132101,3.0100334
132102,6.867589
132300,14.297521
132501,11.090909
132502,18.129614
132700,12.076974
132900,4.5813584
133000,1.9138756
133100,17.282717
134001,10.094637
134002,8.2784576
134101,2.8917284
134103,5.6327162
134104,7.9494801
134201,2.6272578
134302,2.5974026
134303,6.9715562
134304,7.9382582
134305,14.655943
134306,6.9865322
134421,0
134422,2.0075283
134423,11.832947
134424,1.1554621
134520,16.912971
134521,24.512535
134522,9.1543837
134710,13.446396
134720,9.5115681
134800,0.85424453
134901,6.25
134903,7.4801502
134904,7.4564462
134905,4.0137615
135102,0.78740156
135111,3.9667897
135113,9.3704243
135114,22.593801
135201,7.436182
135202,0.46697798
135203,1.3444049
137000,0.75187969
137103,5.9762588
137104,0.75757575
137201,3.9700043
137301,0.81300813
137302,0.6832298
137401,2.4283936
137402,6.6699123
137501,6.9461827
137502,11.136235
137504,2.0588236
138000,0.94602114
139001,3.3997085
139200,5.4825554
139301,2.9784536
139302,14.07563
139303,9.5036955
139401,21.72471
139402,0.66964287
139502,4.1769042
139503,7.6111531
139504,5.3142858
139600,3.3955045
139701,3.952158
139702,1.8961625
139703,3.4849951
139801,0.23076923
139802,0.90022504
141101,3.7052631
141102,5.5720654
141201,5.7868018
141202,1.7660044
141302,5.1894846
141303,5.8479533
141304,8.0711355
141400,13.464374
141500,1.4164306
141600,0.43050429
141700,0.75757575
143100,3.3697631
143200,4.835391
143300,4.0991735
143400,3.2605042
143500,2.7112517
143602,4.7169809
143603,3.3044846
143604,6.9980693
143700,3.417861
143800,4.0399833
143901,1.5605493
143902,3.3783784
181000,6.19349
181300,4.1085839
181400,10.967344
181500,3.712297
181600,10.852714
183101,3.7124803
183103,2.733813
183104,3.3376124
183220,10.571185
183221,7.1285143
183222,10.062403
183300,2.5717111
183401,5.2287583
183402,5.7017546
183510,6.4136124
183520,15.176152
183610,14.151925
183620,14.561028
183701,17.039322
183702,8.402585
183810,17.03125
183820,9.5467691
185100,11.726384
185202,7.0072994
185203,14.086021
185204,5.7607088
185310,10.42471
185320,8.8167057
186100,9.0347919
186201,15.684575
186202,4.434907
186203,0.96339113
186301,9.9562359
186302,3.1231585
186401,22.199799
186403,15.186916
186404,8.7649403
187101,7.4534163
187102,9.6187172
187200,10.698198
187300,5.7163019
188100,11.316259
188201,2.6455026
188202,7.6853528
188300,3.2327585
189101,13.238434
189102,11.09375
189201,16.035288
189202,8.1994925
189300,7.8372269
189400,2.5795829
189500,9.2771978
189600,8.9407196
189701,3.9070749
189702,15.489567
189800,9.2032385
189902,14.544886
189903,10.378681
189904,14.888011
189905,15.342087
190100,20.176083
190201,40.205429
190202,20.670128
190301,28.216259
190401,19.548458
190402,27.380016
190510,30.29093
190520,21.110434
190700,32.554256
190801,42.439735
190802,30.622349
190901,30.240549
190902,28.790668
191000,21.43951
191110,41.607143
191120,31.438936
191201,27.937788
191203,29.781879
191204,22.52142
191301,26.919033
191302,28.985508
191410,31.426775
191420,28.999146
191500,23.884977
191610,17.341431
191620,39.668701
191710,35
191720,34.571644
191810,15.291262
191820,13.852459
191901,18.265896
191902,6.9503546
192001,21.108395
192002,4.5101089
192300,2.1442494
192410,9.8062239
192420,13.983976
192510,15.835521
192520,19.36937
192610,23.045547
192620,20.660458
192700,17.371737
194101,6.7745805
194102,1.4402003
194200,0.97087377
194300,0.52562416
194401,13.125
194402,6.4324594
194500,8.4905663
195100,3.3613446
195201,8.6814623
195202,3.1380754
195300,6.4077668
195400,10.638298
195500,8.2581224
195600,13.541667
195710,15.015244
195720,19.679634
195802,16.666666
195803,6.3464837
195804,13.137255
195901,10.424355
195902,12.139303
195903,10.075027
197200,7.8333335
197300,10.849598
197410,7.8711987
197420,12.319391
197500,10.566038
197600,15.04606
197700,14.285714
199000,16.25709
199110,12.033195
199120,20.166512
199201,28.665569
199202,10.225922
199300,6.6833749
199400,15.273312
199700,15.642458
199800,24.119602
199900,22.53886
201110,6.9518719
201120,11.729323
201200,10.66482
201301,9.1778202
201302,8.9141006
201401,12.47216
201402,10.598413
201501,9.6753244
201503,14.576271
201504,8.0419579
201601,3.5143769
201602,5.7766366
201700,6.0178304
203100,27.332243
203200,21.130032
203300,21.67382
203500,23.028391
203600,28.506788
203710,20.960188
203720,28.486647
203800,14.491449
203900,11.935953
204110,19.181585
204120,13.629842
204200,30.216648
204300,25.040129
204410,22.512236
204420,38.444443
204600,21.528425
204700,16.271463
204810,15.665796
204820,11.089866
204910,19.794344
204920,11.582382
205110,22.832724
205120,28.121607
206010,41.306435
206020,4.3103447
206031,12.817617
206032,32.47649
206050,32.679737
206200,50.79528
206300,89.603958
207101,24.596775
207102,47.357292
207103,36.39706
207301,48.038361
207302,35.92136
207400,77.14286
207501,14.440434
207502,44.045063
207710,23.687878
207900,14.22629
208000,16.410257
208301,36.549164
208302,36.401672
208401,34.087791
208402,14.738124
208501,17.718447
208502,36.052204
208610,24.262537
208620,18.115501
208710,16.754202
208720,43.817204
208801,48.318295
208802,34.863064
208902,67.452827
208903,56.421234
208904,65.180824
209102,58.071507
209103,38.737865
209104,45.637585
209200,22.405817
209300,36.310162
209401,56.089073
209402,69.779289
209403,67.655785
209510,35.584137
209520,38.283829
209810,47.701149
209820,39.375
210010,42.834267
211000,4.1691484
211120,14.455364
211121,11.622807
211122,9.8569155
211201,25.105932
211202,32.629356
211310,27.966103
211320,45.748299
211410,18.505648
211420,22.971949
211500,14.767699
211701,5.9187279
211703,19.243986
211704,29.88792
211802,21.711132
211803,20.012316
211804,18.566038
211910,32.256096
211921,22.632103
211922,27.32688
212101,18.316446
212102,36.049381
212202,28.257191
212203,62.521008
212204,38.782051
212303,54.1633
212304,52.189781
212305,44.804577
212306,26.569218
212410,30.176077
212420,35.097721
212501,22.70434
212502,26.117647
212610,23.646408
212620,31.920601
212701,9.5607233
212702,4.1752224
212800,13.123718
212900,26.517572
213100,16.55983
213201,28.552368
213202,25.344564
213310,31.233124
213320,37.851929
213401,27.887323
213402,26.944065
214000,9.2056417
214100,5.0400915
214400,4.6443267
214501,12.075472
214502,6.1124697
214503,5.202312
214600,8.0059299
214700,3.2539682
214800,8.6773968
214901,6.5398889
214902,11.335012
215101,10.660206
215102,19.148935
216100,8.1749048
216200,4.3826218
216300,6.5628943
216401,12.748816
216402,8.4527216
216700,5.2631578
216800,6.0769749
216900,4.7899489
217001,12.47505
217002,11.528608
217100,9.3124456
217200,11.667724
218110,17.661901
218120,19.863014
218210,26.867031
218220,19.708492
218300,18.656015
218400,13.251366
218500,18.955513
218600,5.9149723
218701,15.63594
218702,26.157698
218800,17.667044
218900,23.465347
219010,13.434728
219020,18.261505
219300,23.606331
219500,10.24531
219700,13.189964
219800,18.088387
219901,19.460228
219902,6.0631938
220000,14.906833
220100,10.048309
221110,44.722221
221120,32.304039
221210,28.407789
221220,28.305582
221302,26.011993
221303,29.664429
221304,14.336918
221401,37.900642
221402,23.910734
221500,30.434782
221601,22.417582
221602,23.271889
221710,22.34763
221810,27.41573
221820,31.059063
221900,39.458851
222001,13.073395
222002,12.071778
222100,22.395834
222200,22.723543
222500,12.719298
222600,22.554518
222700,17.241379
224010,62.943722
224020,43.595505
224200,36.886395
224310,43.485085
224320,30.200001
224410,22.084129
224420,41.606888
224600,25.930681
224700,28.869047
226001,31.512606
226002,39.733631
226410,27.5
226420,29.55102
226700,19.836554
227010,17.737297
227020,16.874136
228100,19.631903
228210,29.032259
228220,14.128036
228310,23.593287
228320,21.22093
228410,25.82873
228420,22.330097
228500,22.854563
228600,24.155069
228710,19.186653
228720,16.425619
228800,20.101782
228900,32.878582
229100,14.968153
229200,25.698828
229300,11.12013
229410,12.83697
229420,16.205534
231100,39.33934
231210,34.190231
231220,31.402184
231300,24.890829
231400,21.329639
231500,10.463483
231600,25.784868
231710,32.566071
231720,25.526316
231800,28.264463
231900,27.157738
232110,26.302729
232120,21.322437
232200,22.867298
232300,8.1592035
232400,16.358696
232500,21.000704
232600,22.197557
232700,21.235521
232800,21.734476
234000,10.976838
234200,12.53406
234300,26.980534
234501,13.834423
234502,34.712231
234600,17.844093
234700,27.088949
234800,15.121512
234901,32.464027
234902,27.537212
235100,5.1487412
235201,18.300653
235202,28.882833
236000,2.8746467
236100,33.557522
236202,29.127407
236203,26.961771
236204,40.375202
236400,4.9395161
237101,24.454977
237102,26.984127
237201,19.072708
237202,14.404223
237300,18.056322
237401,10.956175
237402,15.893386
237500,15.643803
237600,27.574469
237710,22.794117
237720,29.611042
237800,10.543933
237900,16.56535
238000,15.829528
238100,15.755054
238200,20.270269
238310,29.359165
238320,25.884544
238400,10.402299
239201,22.632795
239202,22.657743
239310,19.497488
239320,18.044237
239330,21.060171
239501,13.769752
239502,20.770128
239601,20.581114
239602,17.610838
239701,23.333334
239702,27.900288
239801,16.407187
239802,17.784964
240010,19.258497
240020,15.10457
240200,16.741741
240300,18.810513
240401,13.835511
240402,14.751131
240500,14.705882
240600,13.47936
240700,15.167866
240800,13.910506
240900,17.317612
241001,17.108875
241002,16.684046
241110,10.313316
241120,19.609509
241201,8.4951458
241202,17.567568
241300,9.1044779
