Area,Youth_in_Non-Family_Households,Youth_in_Single_Parent_Households
101110,2.8895769,34.055729
101122,0,22.437138
101210,0,46.513607
101220,0,24.043716
101300,0,9.5541401
101400,0.90556276,28.201811
102103,0,5.3435116
102104,2.7397261,26.027397
102105,0,33.866665
102107,0,63.772453
103101,0,21.57258
103102,1.650165,39.823982
103200,0,28.010948
103300,0,48.434238
103400,0,29.579983
104103,0,23.116089
104105,0.52113491,47.423279
104108,1.5748031,43.543308
104124,0,22.44898
104201,1.0721945,32.237312
104203,0,29.555698
104204,0,30.678852
104310,1.9823788,24.375917
104320,0,55.545616
104401,0,31.486368
104403,0,18.741058
104404,0,42.312424
104500,1.2953368,43.523315
104610,2.3605151,37.982834
104620,0,31.573706
104701,0,59.204315
104703,0,33.060749
104704,0,45.990063
104810,0,34.966888
104821,0,38.140644
104822,0,31.523178
106010,1.4104372,42.313118
106020,1.5606242,24.789915
106111,0,28.877464
106112,0,23.505514
106113,0,17.125748
106114,0.49504951,51.815182
106403,0.68649888,31.006865
106405,0,35.157547
106406,0,15.487977
106407,0,48.092487
106408,1.8450185,35.12915
106510,0,19.54426
106520,0,32.311623
106603,0,20.771145
106604,0,32.32975
106641,0,9.8404255
106642,0,8.9153042
106643,0,12.600229
106645,0,12.009513
106646,0,29.055008
106648,0.9716599,44.534412
106649,0,22.284908
107010,0,22.366711
107020,0,26.264151
108101,0,11.063829
108102,0,23.959827
108103,0,6.5743942
108104,0,19.269777
108201,0,15.619166
108202,0,9.3274107
109100,0,10.344828
109200,0,13.767019
109300,0,25.251257
109400,0,24.397591
109500,1.4274981,28.549963
109601,0,32.735847
109603,0,40.023338
109604,0,24.528301
109700,0,21.542803
109800,0,18.295019
111100,0,14.343708
111201,9.1222029,23.2358
111202,0,30.384336
111204,0,9.1572123
111205,0,33.827892
111206,0,3.1218529
111301,0,23.112659
111302,0,37.04142
111400,0,25.017042
113101,0,1.0484928
113102,0,18.787878
113211,0,24.024025
113212,0,34.146343
113213,0,43.626373
113231,0,25.254583
113232,2.4390244,12.971175
113233,0,50.690666
113234,0,46.089149
113235,0,13.475178
113237,0,18.440779
113301,0,26.495726
113303,0,17.013464
113321,6.7952251,39.210285
113322,0,22.939068
113401,0.76142132,38.49408
113421,0,28.714357
113422,0,33.160236
115101,0,14.018692
115103,0,0
115104,0,38.939671
115201,0,49.255318
115202,0,22.464899
115301,2.1356783,21.356785
115302,0,38.888889
115401,0,44.868587
115403,0.76238883,37.484116
115404,1.3495277,49.797569
117101,0,26.799387
117102,3.7593985,25.93985
117201,0,19.485294
117202,0,7.0539417
117301,1.0025063,5.764411
117302,0.66287881,15.625
117303,1.4018692,17.601246
117404,0,32.789116
117405,5.3417125,44.06913
117407,0,37.18821
117408,0,59.555984
117510,0,51.132214
117520,1.4114326,43.683838
117530,0,40.096153
119001,0,28.189301
119002,0,20.498442
119201,0,29.622063
119202,1.0194625,33.456905
119310,0,38.405796
119320,0,54.93671
119340,1.8296974,53.41309
119341,0,42.635658
119342,0,31.190926
119400,0,41.998306
119700,0.62893081,30.278526
119800,0,20.514557
119900,0,26.607388
120010,0,25.647669
120020,2.1724372,43.312965
120030,0,54.707985
120103,0,56.264412
120104,1.32626,51.724136
120105,0,23.188406
120106,0,50.927834
120107,0,54.447853
120108,4.5241809,36.037441
120300,0,29.48237
120400,0.64850843,21.271076
121010,0,46.008968
121020,0,30.904522
121101,0,38.501972
121102,0,38.449612
121210,0,62.054794
121221,0,36.951984
121222,0.94866073,43.191963
121600,0.77720207,16.062176
121801,0,48.612946
121802,0,29.538904
121900,0,48.244473
122000,0.74074072,25.277779
122120,0.75313807,38.74477
122121,0,44.105961
122122,0,47.010868
122200,0,29.729731
122410,0,37.777779
122420,1.5182885,51.207729
123010,0.88566828,38.808372
123020,0,45.092461
123103,0,43.922653
123104,0,52.396515
123203,1.888412,47.55365
123204,2.6726058,38.641426
123205,0,36.978416
123206,0,27.900553
123301,0,24.216867
123303,0,39.689266
123304,0,37.956203
123410,0,66.320168
123420,0,52.219074
123510,0,46.2141
123520,1.9639934,29.787233
123601,1.0778443,19.041916
123602,0,45.833332
123700,0,23.592085
123800,0,46.031746
123901,0,29.460201
123902,1.3605442,37.414967
124000,0,28.890877
124102,0,41.304348
124103,0,30.508474
124104,0.77669901,51.650486
124105,0,32.302406
124201,0,13.972055
124203,0,32.447819
124204,2.1008403,46.4986
124300,0,21.793417
124400,0,20.185375
124500,0,10.790274
124600,0,27.871622
124700,0,22.914219
124902,0,16.60079
124903,16.818182,24.545454
125100,0,20.67227
125200,0,28.717949
125310,0,66.541351
125320,0,41.544884
125401,0,18.518518
125402,0,20.643431
125501,0,49.227371
125502,0,71.799629
125600,0,25.935829
127102,0,58.932384
127103,0,58.762886
127104,0,56.2635
127210,0,48.443581
127220,1.2722646,54.877014
127300,0,37.857143
127400,0,35.653236
